,Glul,Sparcl1,Calm2,Cpe,Snap25,Ndrg4,Eef1a1,Ckb,Gng13,S100a5,Trak2,Omp,Kif5b,Sash1,Scd1,Mcf2l,Igfbp5,Nr2f2,Vtn,Frzb,Sorbs1,Timp3,Lpar1,Atf5,Npy,Sez6,Ccnd1,Tubb2b,Mest,Fmo1,Vim,Ahnak,Ptn,Id3,Baiap2,Ahcyl2,Kcnh3,Nudt4,Cldn5,Gja1,Igfbp7,Hmgcs2,Rgcc,Igf1,Gpt2,Foxd3,Unc13c,Prdx6,Rbfox3,Pmepa1,2310022B05Rik,Igfbp4,Psd,Dcn,Sh3pxd2a,Agt,Epas1,Gprin1,Ablim3,Aqp4,Bpifb9b,Mfap3l,Msi2,S100b,Ppfia1,Col1a1,Kcnj10,Plekhb1,Lrrc58,Icam5,Slc7a11,Ctxn1,B2m,Tmem132b,Gm13889,Plp1,Bpifb9a,Bgn,Phgdh,Hey2,Aspa,Prdx1,Igfbp2,Psat1,Cebpd,Gsn,Atp1a2,Abl2,Ifitm3,Kcnj4,Clca1,Cav1,Ccnd2,Slc4a4,Myo5a,Plce1,Rcn2,Bai2,Sox10,Necab2,Tax1bp3,Dpf1,Edil3,Nrep,Vstm4,Igf2,Rcn1,Wls,Camk2a,Prss23,2010300C02Rik,Trnp1,Tspan15,Tbc1d9b,Heyl,Pik3r1,Hbb-b2,Nnat,Fyco1,Ifi27l1,Mmd2,Tyro3,Fam163b,Fxyd6,Dab2ip,Lmo4,Fmnl2,Arpc1b,Bmp7,Aebp1,Limd2,S100a16,Slc13a4,Cnn3,Plekha4,Dcx,Yap1,Itm2a,Lamc1,Mdk,Dnajc6,Shisa9,Aldh1a1,Tnfrsf19,Srebf1,Slc17a7,Grasp,Rgs12,Eomes,Usp54,Shisa2,AI593442,Mt2,Zdhhc2,Cyp2j6,Kalrn,Camk4,Tshz2,Mapk8ip1,Ly6c1,Gm20594,Nfia,Col1a2,Akap12,Trh,Bag3,Fam131b,Ppp3ca,Rab3b,Arhgap33,Dtx4,Vat1l,Elovl5,Nmb,Pde5a,Lrp4,Arvcf,Scrib,Ogn,Slc38a3,Iqgap1,Col12a1,Pla2g16,Fam107a,Rasl10b,Thbs2,Phldb2,Foxo1,Tmod2,Col11a1,Sphk1,Bcl11b,Dab2,Serpine2,Camkv,Hlf,Gatm,Sp9,Rhobtb3,Gabrb2,Angptl4,Acbd7,Hadhb,Dlgap3,Fam3c,Efemp1,Aqp1,Cacng3,Syt7,Arhgap5,Prss56,Nppa,Aldh2,Hba-a2,Pip5k1c,Lcat,Desi1,Htra1,Zfp36l1,Snx18,Lrig1,Chl1,Slc35f1,Sox11,Sfrp5,Fam213a,Add2,Celf5,Cpne2,Rprml,Celf3,Cyp2a5,Slc2a1,Cav2,Wipf3,Arx,Serpinf1,Gabra5,Itpr3,Sat1,Ctsd,Igsf3,Spon1,Itga7,Jam2,Col9a2,Adcy2,Serping1,Ypel3,Ncan,Gabrg2,Reln,Alx3,Snn,Matn4,Prex1,Rps29,Ctnna1,Mycn,Islr,Vwa1,Mtss1l,Cdk17,Mrc1,Gria3,Fgfr1,Shisa3,Cald1,Hes5,Plscr4,Gfap,Plat,S100a6,Axl,Grb14,Baalc,Bcar3,Slc13a3,Ppfia2,Col16a1,Gnb2,Vsnl1,Rcan2,Cyp2j9,Pgbd5,Afap1l2,Tuba1c,Dlx1,Zfp36l2,Dclk2,Serpina3n,Adk,Fam212b,Fbln2,Dst,Zfp385a,Fibcd1,Tenm3,Gstm1,Id1,Wnt6,Apold1,Fads1,Cmtm5,Camkk2,Rab40b,Pcp4,Mbp,Vamp2,Atp1b1,Gpm6b,Slc1a2,Gad1,Hspa8,Gm1821,Scd2,Aldoa,Tspan7,Itm2b,Syt1,Hsp90aa1,Tubb2a,Tmsb4x,Atp5b,Atp5a1,Rtn3,Slc1a3,Ldhb,Rplp1,Apc,Nrgn,Cck,Camk2b,Ncdn,Gng4,Gpsm1,Penk,Cpne4,Nrsn1,Atp1a1,Syn1,Nrxn3,Aplp1,Ube2ql1,Grb2,Laptm4a,Dynll1,Sparc,Grin1,Prkca,Doc2g,Hpcal4,Lamp1,Cdhr1,Dbi,Tshz1,Pbx1,Egr1,Gabra1,Stxbp1,Gda,Snap91,Ppm1e,Agap2,Eno2,Sh3gl2,Psd3,Uqcrh,Fkbp1a,C1qtnf4,Rragd,Gapdh,Nat8l,Ctsb,Sncb,Celf1,Nrxn2,Cx3cl1,Mdh2,Dync1i1,Ttyh1,Ppp3r1,Scamp1,Calb2,Cbx6,Ncam1,Fscn1,Eif4a1,Bex2,Atp6v1e1,Kcnd2,Ap2m1,Pebp1,Cdk5r1,Rab3a,Rasgrp1,Abr,Sipa1l1,Rpl3,Ppp3cb,Hnrnph1,Mlf2,Tpt1,Chgb,Stxbp6,Eif5a,Cadm2,Dner,Mef2c,Rasl11b,Ptms,Eef1a2,Ywhaz,Ptpro,Clip3,Ubl3,Ywhaq,Slc32a1,Anks1b,Bin1,Pdhb,E030024N20Rik,Inpp5j,Ppp1cc,Ghitm,Dnm1,Rnf187,Trim9,Stmn1,Ypel5,Pnmal2,Gm5148,Tmsb10,Nap1l5,Slc22a17,Serinc3,Pgam1,Ywhah,Apoe,Fabp7,Apod,Ptgds,Kctd12,Beta-s,Sepp1,Marcks,Meis2,Nsg2,Ppia,Synpr,Tspan3,Dclk1,Mapk1,Dlgap1,Camk2n1,Arf3,Pcp4l1,Eif1,Map2,Cplx1,Mt1,Olfm1,Map2k1,H3f3a,Celf2,Cdr1,Map1b,2900097C17Rik,Purb,Atp2b1,Slc6a11,Aldoc,Gria2,Slc6a1,6330403K07Rik,Qk,Scg2,Cfl1,Meg3,Ywhag,Nptn,Calm3,Ptma,Rtn1,Stmn3,Hnrnpa2b1,Atp5g3,Cox4i1,Cd81
20.959x15.073,85,118,183,152,202,188,131,123,2,16,14,4,21,5,10,12,13,5,2,1,9,11,1,4,2,16,3,24,9,1,8,3,0,1,6,9,7,9,2,13,1,0,2,4,11,2,0,21,15,10,2,0,19,1,0,0,12,5,10,9,1,4,14,14,6,0,18,12,13,14,2,8,7,0,11,7,0,2,0,1,0,12,13,5,1,2,9,7,0,15,1,1,1,10,14,0,30,8,1,8,1,9,8,12,0,2,2,4,15,15,8,11,3,1,0,3,4,2,1,2,17,0,32,2,0,3,8,3,1,2,6,4,0,3,0,8,1,11,1,0,20,2,2,1,4,14,1,3,2,2,0,2,9,1,1,13,2,2,15,6,2,1,2,1,1,3,15,11,7,2,0,0,5,13,0,3,0,1,1,8,3,0,3,5,44,2,0,1,16,1,0,3,3,14,8,4,5,5,3,14,0,0,6,4,1,0,1,1,8,1,0,0,2,1,12,2,8,15,1,12,3,0,3,6,2,11,5,17,0,2,3,0,7,2,7,1,2,11,4,2,11,4,8,0,6,1,5,0,17,6,21,16,1,10,0,5,11,2,2,5,1,9,8,0,16,5,7,2,3,0,12,2,1,4,0,16,2,0,6,3,18,9,5,7,8,1,7,12,0,6,0,11,1,1,11,5,0,3,17,1,1,1,5,4,11,10,109,100,94,132,63,66,116,74,71,94,65,89,107,81,65,87,103,70,65,58,38,59,52,36,15,20,48,22,29,23,18,44,31,31,23,23,34,30,11,14,47,33,15,26,31,24,24,25,23,20,27,18,30,36,25,39,41,24,32,27,33,19,23,19,23,35,14,28,20,20,17,21,24,22,28,25,21,28,12,12,18,29,25,36,16,31,19,18,37,37,20,20,17,30,15,26,28,14,16,29,18,25,43,29,21,28,12,31,22,18,23,13,23,15,15,21,17,26,53,17,20,30,22,23,20,27,20,18,20,26,23,47,155,50,28,54,24,10,33,40,46,53,58,59,42,71,57,58,49,51,51,57,64,61,43,60,37,35,39,51,63,34,49,30,14,29,38,39,30,36,54,57,37,46,57,49,44,32,44,63,49,48,33
21.95x15.022,121,100,174,188,119,120,161,157,4,8,8,7,15,8,8,4,7,3,2,2,6,7,0,2,1,33,1,40,2,0,4,1,1,1,24,7,21,3,3,16,7,0,4,2,7,0,1,12,6,6,7,1,31,1,5,0,13,18,7,11,1,7,13,4,2,1,21,16,17,21,1,10,6,1,41,23,1,1,0,2,0,15,2,8,0,6,7,16,0,15,0,3,3,21,18,1,21,11,1,6,3,4,2,40,1,1,2,2,18,3,9,6,0,3,2,9,1,11,1,9,20,6,7,4,2,9,5,2,1,2,8,6,0,14,0,28,1,7,2,2,11,3,0,0,2,7,4,1,1,2,0,2,15,4,1,24,7,0,20,3,2,9,0,1,2,0,25,18,1,4,1,1,4,5,0,2,3,8,0,10,1,0,5,3,21,0,0,0,7,0,0,13,0,25,21,8,6,14,0,4,0,0,6,10,10,2,0,4,6,1,0,0,8,1,12,0,9,17,0,1,0,0,1,28,0,6,3,22,3,21,6,0,5,1,12,24,2,3,0,3,15,4,8,0,3,0,14,0,7,1,10,1,0,13,0,7,15,7,0,4,1,8,12,0,17,7,3,0,2,1,3,0,0,5,2,12,2,0,16,0,14,4,6,2,12,4,16,13,0,4,0,2,1,0,8,4,0,12,11,1,0,3,7,0,15,8,69,128,58,79,45,49,55,68,101,134,56,92,125,32,48,69,93,76,71,46,73,61,70,25,49,9,42,25,20,22,31,26,16,26,14,29,43,47,27,23,31,33,24,18,17,17,28,19,40,37,36,18,13,22,14,15,44,29,22,19,22,25,36,40,15,20,22,34,16,22,28,26,18,16,23,35,20,6,12,21,20,12,32,46,9,26,36,26,35,45,24,23,15,23,29,23,36,19,13,39,17,19,17,13,22,14,16,7,25,20,35,13,18,36,32,18,17,27,26,35,16,27,40,17,23,33,55,14,29,24,38,27,165,42,22,65,21,10,30,96,71,51,87,52,49,57,47,24,48,39,48,52,54,27,34,41,35,74,42,32,63,37,35,32,36,42,47,32,40,28,36,64,32,39,51,42,51,47,32,60,42,43,44
21.939x16.016,100,90,126,138,132,146,217,157,1,11,5,4,12,4,12,9,12,8,9,4,12,5,0,3,5,50,2,50,3,0,4,3,1,2,21,6,20,14,1,10,2,1,4,1,4,0,2,20,9,11,6,0,11,0,0,2,11,17,18,7,1,2,9,6,6,2,8,8,20,17,8,29,8,0,28,9,0,3,5,1,2,15,1,3,1,4,8,16,6,24,0,1,0,22,17,1,15,6,2,11,1,15,9,56,2,3,1,6,18,4,22,3,0,8,1,7,2,6,3,3,10,8,20,4,1,7,4,2,0,1,5,1,1,19,0,24,6,10,4,1,10,5,9,1,3,8,9,2,3,4,1,2,10,0,0,12,4,2,10,8,1,8,0,1,3,0,12,19,8,8,0,2,9,7,0,1,3,2,0,19,3,6,1,4,24,1,0,1,10,0,0,7,1,17,14,5,10,17,2,4,0,1,9,6,3,2,0,6,10,11,0,1,3,5,29,1,22,10,4,0,1,0,0,26,0,13,11,27,0,7,12,0,20,5,13,8,3,7,1,3,4,10,9,0,3,0,26,1,13,9,12,6,0,17,0,5,16,2,1,2,3,4,11,0,12,3,5,6,2,0,7,3,1,4,2,5,1,1,6,0,5,3,4,1,4,0,10,9,6,8,1,7,1,0,6,2,0,11,18,1,2,2,17,1,3,16,90,176,78,86,76,54,44,121,93,98,50,87,132,28,68,76,98,90,56,53,49,33,71,29,48,10,34,22,16,37,41,64,17,52,28,31,27,40,29,26,52,44,34,25,23,20,28,16,33,39,27,29,12,45,34,26,30,41,36,30,36,25,39,21,37,31,22,27,18,17,23,27,18,9,23,25,32,12,18,27,18,24,34,46,14,27,32,28,45,33,22,30,13,28,36,18,39,13,15,41,25,26,16,18,30,30,17,12,19,29,36,7,32,16,19,27,25,36,18,24,31,32,51,15,8,39,72,16,39,27,28,43,177,30,30,53,19,54,49,57,51,69,84,76,33,42,53,45,60,49,40,76,73,22,36,48,40,59,46,32,50,35,48,50,22,33,28,31,42,44,31,62,39,45,46,52,83,66,28,60,46,39,37
21.942x17.038,96,86,171,110,117,139,129,83,0,11,7,2,6,13,8,8,8,3,2,3,5,6,3,0,5,28,0,42,8,0,4,0,0,0,8,10,7,9,0,13,0,1,3,2,1,0,0,15,6,4,9,2,16,4,0,1,10,21,10,8,1,2,3,15,1,1,9,16,14,11,1,21,3,0,17,36,0,1,8,2,2,11,7,11,0,8,6,12,1,14,1,0,0,6,13,0,18,6,1,8,2,7,6,31,1,12,3,2,15,0,12,8,1,4,1,1,1,5,3,2,14,4,8,4,0,3,8,0,3,1,8,6,1,18,0,18,1,1,0,1,5,3,3,0,2,0,2,11,2,1,1,0,4,2,2,8,8,0,20,2,0,2,0,2,1,1,4,12,9,4,0,3,6,5,0,2,1,1,1,6,2,0,6,4,14,0,0,0,6,0,0,13,0,12,12,9,3,18,1,4,0,0,4,4,2,0,0,1,7,0,0,0,1,0,21,1,15,14,0,2,3,0,2,6,0,14,5,11,2,4,2,0,6,1,8,17,3,9,0,1,8,7,1,2,6,0,9,1,16,1,12,6,0,13,0,2,7,5,3,3,2,8,10,0,18,12,8,0,1,1,5,1,0,3,1,6,1,2,10,0,7,2,11,3,8,2,9,12,0,7,0,8,0,0,3,3,1,12,7,1,0,2,12,5,7,6,57,195,76,92,67,44,66,69,60,107,55,76,98,43,39,57,93,83,59,82,74,46,59,26,46,14,37,22,17,31,42,47,19,25,14,32,45,21,28,20,43,16,20,29,11,11,25,7,30,29,9,12,8,48,20,11,32,33,31,30,22,16,30,29,24,37,8,24,13,25,31,16,16,20,15,18,15,6,19,22,23,12,28,29,9,23,45,12,39,26,18,19,11,7,25,18,38,18,14,25,15,15,28,14,29,25,15,21,27,19,47,24,12,22,9,23,8,48,20,22,32,29,47,14,28,43,45,27,17,20,29,30,146,49,53,61,21,5,40,70,51,44,59,42,34,41,52,39,55,37,37,49,62,32,29,58,29,75,34,7,47,32,51,39,19,19,35,39,43,48,27,71,32,39,44,44,55,62,33,76,47,32,33
20.917x16.026,99,106,130,141,229,119,141,135,4,13,3,2,6,9,9,8,9,1,1,2,6,6,1,1,5,10,0,15,3,0,2,2,0,6,5,8,3,6,1,17,0,1,7,1,2,0,0,14,5,3,2,0,11,0,0,0,8,15,8,7,1,10,6,9,1,3,17,16,10,14,4,13,13,1,14,9,0,3,1,1,1,13,9,1,0,3,9,8,0,8,0,1,0,8,10,0,7,8,1,3,2,1,3,11,0,1,2,3,5,6,3,11,1,3,0,3,1,0,0,4,13,0,10,3,0,3,1,2,4,3,8,15,0,10,0,7,2,4,1,2,20,2,1,2,2,30,2,2,6,3,0,0,20,1,2,8,1,1,12,1,1,2,0,2,1,1,6,3,14,0,0,0,1,7,1,1,1,2,1,15,0,0,2,3,24,0,2,1,7,0,0,6,0,8,9,8,8,8,0,18,1,0,7,6,3,1,0,3,28,7,0,1,3,0,18,0,15,9,1,4,2,0,1,0,0,8,7,8,2,5,5,0,7,1,6,7,1,6,0,4,7,9,5,0,12,2,7,0,9,3,20,34,0,15,0,3,11,1,2,0,4,7,8,0,4,1,10,2,6,0,1,0,1,2,1,12,0,0,8,1,13,9,17,2,1,0,5,6,0,4,0,6,0,0,11,1,0,2,8,0,1,2,16,1,7,4,63,93,76,158,43,59,61,85,60,57,70,102,96,70,69,82,89,94,76,73,67,76,62,22,9,13,39,24,17,14,13,6,25,45,12,24,18,9,16,28,39,15,23,12,40,24,19,51,24,27,18,25,36,33,10,34,27,28,39,13,30,30,24,15,14,24,16,26,31,11,33,14,20,21,22,19,14,24,22,16,7,11,46,33,15,16,28,14,31,34,18,11,13,15,18,18,16,20,21,22,28,25,38,14,18,22,18,15,6,15,27,21,10,20,9,21,17,23,29,25,43,27,20,10,15,15,25,14,18,15,34,26,180,39,16,45,26,16,43,32,25,37,54,42,35,54,67,39,36,38,64,39,46,70,23,59,38,34,34,30,78,48,37,35,17,43,25,55,23,35,62,52,18,38,44,50,28,50,50,37,51,57,29
20.931x17.088,76,86,118,87,133,85,58,64,8,11,7,1,5,6,9,6,14,2,1,2,4,2,0,0,5,4,1,12,3,3,5,0,0,3,7,5,4,4,0,12,4,2,1,2,2,0,0,11,8,2,5,0,5,2,1,0,11,4,6,8,0,2,10,14,2,0,9,6,3,3,2,3,10,1,3,4,0,0,0,4,0,9,5,2,2,1,10,8,3,13,0,1,0,10,5,1,16,2,3,0,1,6,2,8,1,4,2,2,15,6,2,6,0,4,0,7,4,4,1,2,7,2,9,4,0,2,4,0,1,0,5,4,2,3,1,8,2,9,2,2,9,1,4,0,3,11,3,1,2,3,0,3,13,0,2,7,2,2,10,2,1,0,0,2,2,1,7,5,13,3,0,0,7,6,0,4,0,2,0,4,4,0,1,4,15,0,0,1,5,0,1,3,0,15,4,6,5,6,2,7,1,0,4,4,3,1,2,1,4,0,2,0,2,1,7,2,8,8,2,0,1,0,1,4,0,5,7,8,1,3,9,1,3,1,4,10,2,4,0,1,8,5,6,1,8,0,7,1,7,2,4,12,0,11,1,2,6,2,1,2,1,5,6,0,2,5,5,0,2,1,5,1,1,2,1,13,0,0,6,0,17,4,6,0,3,0,0,6,0,8,0,5,0,0,6,2,0,4,13,1,0,5,9,2,1,5,33,25,47,87,26,37,61,41,37,50,46,38,91,42,36,64,68,47,41,43,29,39,44,29,12,11,24,11,13,12,7,22,16,27,6,20,24,12,8,9,23,21,7,15,12,7,19,10,13,12,5,10,19,27,12,16,42,22,22,16,13,14,19,13,11,9,7,17,29,14,8,17,17,11,20,13,12,19,6,3,15,4,20,23,9,9,14,19,16,26,8,6,9,17,8,21,17,23,17,18,8,12,14,16,14,20,15,8,9,9,17,18,3,11,1,5,12,23,12,11,13,17,14,9,12,11,15,10,20,17,14,21,88,55,24,65,24,12,29,32,27,34,31,47,23,19,41,22,27,32,36,19,42,38,25,25,41,15,23,19,49,23,31,34,13,8,21,27,22,16,40,38,15,25,25,31,20,38,28,31,31,18,19
23.108x17.15,82,90,169,97,164,124,171,184,0,11,6,3,17,9,16,1,6,1,4,4,7,7,1,3,5,26,1,35,1,0,5,1,0,1,15,5,13,5,2,7,4,0,6,0,5,1,0,7,31,10,1,0,29,1,0,0,9,15,13,7,0,2,9,6,6,1,7,8,13,14,3,25,15,1,14,40,0,0,1,1,1,10,0,3,0,13,4,13,0,25,0,1,0,9,8,0,7,12,3,4,1,3,7,9,0,2,0,3,18,7,37,10,1,5,0,1,3,3,0,9,13,4,22,1,1,3,2,0,1,0,11,1,1,10,0,18,0,7,1,2,14,2,3,0,2,6,7,4,2,3,0,1,10,2,2,23,10,1,13,5,0,0,2,0,0,0,23,19,1,2,1,2,1,2,1,4,0,5,1,5,1,0,5,1,7,0,0,0,7,0,0,7,0,19,7,7,11,17,1,1,1,0,1,8,5,0,0,0,5,1,1,1,2,0,12,0,30,12,3,5,4,0,0,1,0,7,12,18,2,12,7,0,2,1,14,10,0,24,1,2,3,7,4,0,3,0,14,0,9,4,14,4,0,21,0,4,12,2,2,1,0,4,16,0,8,5,2,1,5,0,2,2,2,2,0,10,2,2,12,1,16,6,8,7,8,0,6,12,0,6,0,1,1,0,5,1,0,8,12,0,0,1,10,1,8,10,102,168,71,111,51,53,113,142,78,150,84,70,150,55,60,71,90,85,70,72,49,66,58,32,28,9,53,41,25,58,40,54,11,51,25,24,39,51,49,15,47,24,18,24,6,36,21,4,19,35,33,37,16,47,44,60,45,45,41,19,43,26,37,27,20,27,16,16,10,31,31,27,30,25,22,24,15,37,16,26,15,22,40,41,31,30,31,23,49,35,33,21,19,30,19,28,43,15,27,23,27,10,37,20,21,22,25,33,10,27,45,29,18,32,18,21,31,45,16,17,41,48,32,33,37,29,22,35,30,25,42,47,145,31,40,41,6,2,35,36,57,54,84,66,36,48,62,62,69,49,71,62,53,54,38,25,39,57,39,28,23,20,44,64,8,16,40,43,30,48,68,54,30,62,45,53,70,49,20,64,50,64,17
24.073x16.077,86,104,46,74,42,47,56,65,3,7,5,1,7,6,9,3,4,1,5,1,5,4,1,4,2,7,2,2,1,1,8,2,4,2,1,2,12,3,2,17,2,1,4,3,1,0,2,2,4,1,2,1,9,0,0,1,10,3,3,9,0,9,6,9,0,0,19,3,12,0,2,2,9,0,4,6,0,0,0,0,2,1,7,3,0,0,19,4,1,1,1,1,1,10,9,0,18,8,1,1,0,2,3,3,0,3,3,2,11,5,1,3,1,2,1,3,2,0,1,3,14,1,2,4,1,3,1,3,4,0,4,1,1,4,1,4,0,6,1,5,5,5,4,1,2,4,0,0,0,2,0,0,12,1,2,0,0,0,6,5,4,3,0,4,0,1,2,4,6,1,0,0,5,2,1,1,0,4,0,7,3,0,4,5,18,1,0,1,6,0,0,2,0,20,0,7,2,3,0,11,0,0,6,0,2,0,1,0,10,0,0,1,1,1,1,2,4,11,0,0,1,0,1,3,0,7,1,3,1,3,1,0,15,2,0,3,0,1,1,1,3,1,6,0,6,3,0,0,4,5,8,2,1,7,0,4,6,0,0,1,3,3,3,0,2,4,5,1,0,0,3,0,1,7,1,5,1,4,3,0,3,3,4,0,0,1,1,7,1,1,0,1,0,1,2,1,0,1,7,1,0,2,10,4,0,1,14,44,17,17,37,68,22,28,26,67,26,45,38,27,24,35,25,31,30,18,45,23,57,8,6,12,11,2,0,7,13,8,6,6,3,2,15,4,8,19,10,11,6,8,18,5,17,5,16,8,16,9,7,5,1,13,6,13,16,3,15,17,9,4,1,9,5,13,9,3,6,6,12,3,21,9,7,11,5,5,7,2,6,7,6,5,9,4,14,14,6,8,6,17,7,5,23,8,4,5,4,4,6,3,8,5,2,2,4,9,10,7,3,5,7,1,6,12,16,7,10,12,10,8,6,5,8,9,16,11,11,17,178,27,23,35,6,12,35,8,21,20,8,23,22,15,18,22,24,19,16,11,27,15,21,27,22,16,18,33,26,26,25,9,32,24,17,36,11,27,24,19,13,19,16,19,12,17,14,18,16,22,28
24.097x17.116,67,70,30,62,40,55,41,56,2,10,4,1,4,5,12,3,9,0,2,0,5,7,1,0,2,9,0,7,1,0,3,1,10,1,1,4,0,5,0,9,1,0,2,0,5,0,0,3,2,0,0,0,5,1,0,0,11,4,1,12,0,2,10,8,0,0,15,3,8,7,5,5,4,0,3,6,0,0,1,1,3,6,13,4,1,2,9,6,0,5,0,1,3,12,7,0,15,0,0,1,0,0,3,1,0,0,1,1,7,2,2,6,3,3,0,4,1,0,1,0,6,1,7,0,1,3,1,0,2,0,2,1,1,1,0,6,1,2,0,2,5,0,1,0,3,5,1,2,2,2,2,2,10,0,1,2,0,2,6,3,3,2,1,0,1,2,1,1,4,0,0,0,6,3,0,0,0,3,0,5,2,1,0,6,9,0,0,3,10,0,0,2,1,6,3,5,7,2,0,5,0,0,5,1,2,0,1,2,9,9,0,0,0,1,3,0,1,5,0,0,0,0,2,1,0,4,0,6,0,3,1,0,6,1,2,0,1,4,0,0,5,2,0,4,2,1,3,0,2,1,3,13,1,2,0,6,8,0,1,4,1,11,2,0,4,3,3,0,0,0,4,0,0,4,1,8,1,2,1,0,2,2,13,1,0,0,0,1,0,1,0,1,0,2,2,2,2,1,16,1,0,1,2,2,1,0,13,23,27,33,46,51,21,25,12,51,26,44,30,13,19,25,35,32,22,22,34,19,29,12,0,12,12,7,2,3,7,4,17,5,5,11,9,7,5,10,20,21,9,9,33,13,11,14,9,8,7,7,12,23,7,11,18,5,13,7,18,11,3,3,7,11,4,14,18,9,2,2,9,4,14,8,3,5,3,8,3,3,5,10,7,5,8,5,10,14,5,8,6,9,5,7,16,10,8,4,7,7,6,7,11,6,4,3,4,4,6,10,7,4,5,1,4,10,8,7,7,5,7,0,5,7,12,4,17,5,14,15,92,27,14,40,15,18,33,21,14,6,11,14,28,18,16,19,9,13,16,22,17,21,15,17,11,16,18,42,40,20,30,8,22,21,13,7,9,20,12,11,13,17,12,17,10,11,10,25,9,30,9
23.132x16.099,74,76,129,73,164,140,164,126,2,5,2,3,11,7,6,1,3,0,0,0,11,5,1,2,4,12,1,9,5,1,2,0,1,1,10,17,8,4,3,7,5,1,3,0,4,0,0,9,10,6,0,0,20,0,3,0,9,21,15,6,0,3,8,9,0,1,3,8,20,8,1,23,10,0,12,19,0,0,2,2,0,7,2,3,0,9,5,14,0,17,1,0,0,19,17,0,14,7,2,0,2,7,5,7,0,1,2,3,8,7,21,4,1,1,1,2,0,2,7,5,9,4,30,3,0,2,1,2,0,0,8,3,1,11,0,1,1,13,1,0,12,3,1,0,2,3,6,8,1,0,0,2,8,0,1,14,6,0,6,5,1,0,2,0,3,0,5,13,3,6,0,0,10,5,1,0,3,1,0,5,1,0,1,2,16,1,0,0,6,1,1,5,0,8,9,3,2,3,0,1,0,0,6,2,4,0,1,1,10,0,0,0,4,2,10,2,8,13,0,2,2,0,0,0,0,8,4,9,0,7,16,0,6,0,3,15,1,19,0,0,6,3,1,1,11,0,13,0,11,4,7,1,1,11,1,3,9,0,1,2,0,7,13,0,19,2,2,0,3,0,2,0,0,4,1,7,0,0,9,0,13,4,3,0,3,1,5,12,0,7,0,0,0,0,0,1,1,16,9,1,0,1,7,1,7,7,112,94,77,170,34,58,109,81,68,65,55,93,134,59,69,75,100,60,80,34,27,42,57,28,9,8,29,26,27,48,37,28,33,38,26,32,24,35,30,14,43,20,28,18,10,25,18,7,14,17,40,42,14,44,15,74,37,35,25,16,27,16,23,23,16,24,18,14,12,21,9,26,16,27,9,21,19,17,4,15,23,17,21,23,22,20,17,20,46,41,19,10,20,21,20,21,24,14,27,20,20,8,34,36,20,30,19,19,14,35,37,26,19,19,13,27,21,37,23,17,22,35,16,32,12,14,10,30,31,10,40,39,127,22,18,55,13,4,35,35,37,41,55,60,35,51,57,55,58,51,81,28,51,80,25,27,44,29,36,19,23,24,64,70,20,13,55,26,32,53,77,54,22,25,69,46,29,53,21,67,34,31,24
25.069x12.085,121,166,46,142,69,91,89,101,2,9,11,1,13,24,16,14,4,5,28,9,22,18,0,3,27,12,2,3,14,5,17,2,13,7,5,15,2,7,1,36,9,1,4,6,15,12,0,22,2,13,3,5,5,1,1,5,18,0,2,17,1,29,7,5,2,1,18,6,22,4,7,4,24,2,6,21,1,0,14,1,1,21,10,2,2,7,14,8,1,3,2,9,0,21,13,6,22,0,0,0,7,3,7,3,4,7,3,3,7,9,3,10,3,1,0,11,1,5,3,6,23,3,5,3,2,2,2,2,3,1,5,11,1,16,0,4,1,10,0,2,5,13,6,12,9,5,1,0,6,4,0,5,20,1,14,0,1,1,7,4,3,3,1,3,3,7,2,2,11,4,4,2,4,4,2,10,0,4,3,10,1,0,2,6,11,1,2,1,2,1,0,1,0,35,1,6,0,7,1,8,1,1,7,1,8,10,10,1,18,5,4,5,12,0,4,2,5,21,3,0,8,9,2,0,0,14,1,3,1,1,3,1,5,6,2,7,11,3,0,2,13,0,5,0,3,1,1,3,1,7,10,9,0,4,0,7,15,4,0,7,2,1,8,1,4,2,1,0,5,1,11,1,4,2,1,3,1,3,1,0,4,5,8,6,1,0,2,4,6,0,2,9,1,3,7,0,2,1,22,0,1,0,19,8,3,2,19,56,38,40,70,29,28,52,33,112,33,60,106,25,38,28,75,53,50,37,95,29,46,20,6,23,8,5,2,5,3,12,41,11,4,3,12,6,12,17,17,39,3,9,19,5,28,11,25,10,13,3,15,9,0,13,13,6,9,10,7,6,12,9,6,22,0,26,15,10,8,5,9,5,23,13,3,23,6,18,6,10,25,8,2,3,18,6,21,12,5,4,6,10,3,16,28,8,5,9,6,14,9,8,7,14,3,16,5,10,11,9,7,9,1,9,3,17,28,14,10,23,9,9,17,10,34,21,21,14,12,19,298,100,127,56,79,12,70,45,24,14,36,27,47,16,26,28,17,17,22,14,18,27,28,32,26,24,13,5,28,18,22,23,55,35,16,25,23,36,28,23,27,31,30,38,19,28,9,46,22,41,36
