gene,sv_genes_gpcounts,sv_genes_spatialde,LLR_gpcounts,LLR_spatialde
Inpp5b,,,0.871942904,0.728045039
Slc24a2,,,0.871714191,0.900904759
Txndc15,,,0.871306763,1.213752982
Frem2,,,0.870723604,1.258305417
Nkain4,,,0.870234364,0.572390816
Slc9a9,,,0.869704715,0.470789072
Tbl1x,,,0.869574247,1.774990268
Secisbp2l,,,0.869572194,1.216931337
Fam53c,,,0.868702755,0.510890508
Dnmt3b,,,0.867794485,1.236354886
B4galnt4,,,0.866237975,1.303602397
Ipo13,,,0.865846643,0.640082229
Nlgn2,,,0.865395799,0.564169511
Osbpl9,,,0.864761067,0.97550313
Zmym3,,,0.86475894,0.810641746
Tbccd1,,,0.863477448,1.378143304
Rpl36al,,,0.863131012,0.95859843
Slc4a10,,,0.863088542,0.836425562
Col5a3,,,0.863016379,3.861486349
Sfxn1,,,0.862939355,0.271377824
Lemd2,,,0.861587382,1.17305744
Acot1,,,0.861110112,0.02311752
Tmem204,,,0.859124142,0.070012007
Mvb12a,,,0.858937491,0.971353219
Csnk1e,,,0.858872421,0.449022994
Pcsk1,,,0.858644327,1.814807453
Nsun2,,,0.858275486,0.776828192
Rtn4rl1,,,0.858151589,1.052303226
Rnf208,,,0.85810475,1.135576486
Chm,,,0.856890009,0.292212732
Slc25a26,,,0.856752856,1.098908506
Bahcc1,,,0.856701781,1.975605893
Golph3,,,0.854676169,0.03661551
Dync1h1,,,0.85361036,0.366985691
Vangl2,,,0.852998076,0.218464862
Samm50,,,0.852360723,0.000964007
Man2b1,,,0.852344865,0.05806044
Neurl4,,,0.852130383,0.000964007
Vwc2,,,0.851794776,1.3704018
Rpl39,,,0.851743445,0.052126917
Rhbdl1,,,0.850607776,2.114723403
Zfp182,,,0.85014977,0.748406898
Dusp18,,,0.85000855,0.719667346
Kif1a,,,0.846847084,0.582424125
Gdi2,,,0.846021957,0.098231564
Suclg2,,,0.845630705,0.070849177
Ap1s1,,,0.845575997,0.513627033
Cd302,,,0.845323253,0.572684418
Pdcd5,,,0.845174199,0.851946052
Srd5a3,,,0.844291246,1.30330481
Samd14,,,0.844044107,1.334891425
Rtfdc1,,,0.842820033,1.369115875
Tyrp1,,,0.842179121,3.429726768
Pianp,,,0.841432982,0.629908039
Foxj2,,,0.84135894,1.211918413
Slc22a18,,,0.841050877,9.605980658
Zcchc17,,,0.841042437,0.229377672
Grpel2,,,0.840031052,1.678804304
Kif21b,,,0.839177483,0.770991698
Sdhb,,,0.839118912,1.228207169
Rttn,,,0.838887278,2.111727749
Hecw2,,,0.838471954,1.440072716
Serinc5,,,0.83788894,0.997200926
Ing1,,,0.837369375,1.314949597
Mcfd2,,,0.836938068,0.865073683
Ablim2,,,0.83689948,0.109174803
Pnp,,,0.836811586,0.285669026
Maml2,,,0.836585214,0.408206562
Mcmbp,,,0.836366749,1.325659063
Unc119b,,,0.836349548,0.784739946
Uqcr10,,,0.836346533,1.066097298
Abcd1,,,0.836067983,6.621259064
Gnpda2,,,0.83601892,0.400038058
Lgals3bp,,,0.834608647,0.000964011
Frmpd3,,,0.833570634,1.443229952
Gstt3,,,0.832640081,0.000964011
Ccdc53,,,0.831835127,0.532996231
Apln,,,0.831484292,1.412787167
Hfe,,,0.831203625,0.000964008
Nf1,,,0.830418047,0.106091369
Heatr1,,,0.82932577,1.460497857
Pgm2,,,0.829221778,1.673696917
Dbndd1,,,0.829100006,0.794003413
Sox9,,,0.828282273,0.15185719
2900060B14Rik,,,0.82768894,0.131266373
Glra2,,,0.827049046,1.021819292
Ppp6r3,,,0.827032881,0.974139768
Rasl12,,,0.825894169,0.12015412
Jmy,,,0.825512665,0.202309487
Cenpc1,,,0.825049626,0.664746699
Zscan21,,,0.824869058,0.00096401
Pdk2,,,0.824116158,0.726085619
Ppp1r18,,,0.823714093,0.157232215
Akap6,,,0.823663899,0.000964009
Plcd1,,,0.823554301,1.100253753
Cxxc5,,,0.822905131,0.000964011
Itgb5,,,0.822074914,0.08987803
Snapin,,,0.821836792,0.000964011
Map2k7,,,0.82137567,0.526175336
Stmn4,,,0.820941627,1.514647951
Atrnl1,,,0.820099565,0.763932775
Ccdc80,,,0.819439816,0.666874525
Zfp655,,,0.819377825,0.751383415
Map2k6,,,0.819014081,6.226945292
Slc25a38,,,0.819010889,0.822946772
Gnaz,,,0.818810149,2.021417441
Ttpal,,,0.818658426,0.108268519
Polg2,,,0.818436631,0.928048538
Ppp2r5e,,,0.818381115,0.78002761
Zkscan5,,,0.818371913,3.740789369
Cntn4,,,0.817076909,0.535021614
Slc16a12,,,0.815609069,0.067233581
Tmem201,,,0.815147306,1.570132592
Smc1a,,,0.81489608,0.117202789
Slc25a19,,,0.814724466,0.619159805
Eps15,,,0.814484861,1.440733481
Eapp,,,0.813910924,0.521030967
Prdx6b,,,0.813721127,0.801046113
Fbxo45,,,0.813185573,0.448881776
Cxcl5,,,0.813002674,0.230894499
4930579K19Rik,,,0.812909805,0.12457016
Bckdha,,,0.812639269,1.293042981
Lrsam1,,,0.812462342,0.93120969
Agap3,,,0.812409221,0.754501335
Fbxo31,,,0.810785924,1.19051125
Ube2k,,,0.810649042,0.148410999
Lurap1l,,,0.810275613,0.291244944
Nus1,,,0.810269451,0.049774827
Fgfbp1,,,0.810199224,0.25047738
D030056L22Rik,,,0.809951765,0.884469931
Lats2,,,0.809850542,1.222012664
Nrp2,,,0.809431346,1.137320709
Rnf167,,,0.80917254,0.624810864
Rpl29,,,0.808575744,0.620015204
Lrba,,,0.808399617,0.063395845
Hs3st5,,,0.808395373,1.042951123
Rnf181,,,0.808285421,0.492241155
Fcho1,,,0.807779516,0.408702447
Dusp14,,,0.807615174,0.157687861
Esam,,,0.807239091,0.476682355
Pno1,,,0.80543681,0.405771618
Fam169a,,,0.804450968,0.680543874
Lor,,,0.804148803,1.043467183
Sec22a,,,0.803695039,0.764212459
Wsb1,,,0.803188512,0.00096401
Dpys,,,0.803108683,0.456406045
Aimp1,,,0.802916953,0.000964006
Rabggtb,,,0.802365027,0.002269962
Capn1,,,0.800720455,1.351932151
Ttc7,,,0.799686346,1.654734427
Rps15,,,0.799617181,0.940350114
Kcnab2,,,0.799291577,0.30729524
Bcr,,,0.799209305,0.005855232
Commd6,,,0.79874398,0.00096401
Apba3,,,0.79836409,1.43470684
Stard3,,,0.798201021,0.000964008
Slc23a2,,,0.798156995,0.529879943
Sgsh,,,0.795988663,0.832804271
Prr18,,,0.795559234,1.76350933
Pou2f1,,,0.79483755,0.166210378
Rpl23a,,,0.794618954,0.887044277
Txnip,,,0.793921872,0.00096401
Gm2382,,,0.793376823,1.473231105
Kcnc1,,,0.793305545,0.656752372
2410016O06Rik,,,0.793191383,1.44715086
Trim30a,,,0.792979948,1.292292029
1700084C01Rik,,,0.792603936,1.129955301
Gorab,,,0.791343747,0.50418565
Ap5m1,,,0.791245024,1.995940785
Nemf,,,0.791232,0.000966794
Elp3,,,0.790992922,0.786230364
Rplp0,,,0.789397847,0.073366311
Ppp4r4,,,0.789240567,1.489590708
Shc1,,,0.789200516,0.977437822
Zbtb26,,,0.788923933,0.037738977
Phactr4,,,0.788713753,0.000964009
Ifitm1,,,0.788019338,1.083976429
Sos1,,,0.787549229,0.047421305
Gas2l1,,,0.787461544,0.790870126
Fzd2,,,0.786821173,0.000964264
Eprs,,,0.786690133,2.664567599
Ccdc173,,,0.786545995,0.039385699
Pde12,,,0.786358019,0.549208187
Jak2,,,0.786317974,1.265503093
Olfml1,,,0.786001015,0.64510203
Pnpt1,,,0.785452686,0.52170632
Xpr1,,,0.785285972,1.59367589
Ucma,,,0.784950534,1.897156895
Aldh4a1,,,0.784913979,0.14077592
Mis18bp1,,,0.784668019,2.864217772
Slc13a5,,,0.783421586,0.021757529
Arsk,,,0.782861256,0.642085936
Gin1,,,0.782134686,1.940055757
Mccc2,,,0.781901235,0.562786264
Asf1a,,,0.781678577,0.311336302
Senp7,,,0.781620965,0.634220499
l7Rn6,,,0.781561169,1.460315407
Eif5a2,,,0.781055946,1.575800067
Tab2,,,0.780187494,0.712506372
Pak6,,,0.779795436,0.511943349
Pdzk1ip1,,,0.779621154,0.924033002
Zbed6,,,0.779524193,3.68899867
Fam171a2,,,0.779128929,0.491001238
Ndufb10,,,0.778838544,0.464868145
Jun,,,0.778672809,1.313857455
Rhot2,,,0.778174899,0.000964009
Mterfd2,,,0.777952593,1.082193477
Ece1,,,0.777206083,1.827497872
Scg3,,,0.777112796,0.919320255
Eif2d,,,0.77631577,0.28869035
Fam160a2,,,0.775898419,0.70971238
Slc35e3,,,0.775722593,0.557191084
9930021J03Rik,,,0.775514307,1.045488193
Slc22a23,,,0.773121553,0.004557055
Klhdc8a,,,0.772969274,0.767489804
Celf6,,,0.772519176,2.191891116
Appl1,,,0.771779838,1.290961374
Ppp1r12a,,,0.771688379,0.199894445
Atg14,,,0.771501056,0.655179655
Usp25,,,0.771482076,1.359695241
AI462493,,,0.771287442,1.589448395
Shroom2,,,0.770788366,0.022650308
Serf1,,,0.770487678,0.969705731
Gstt1,,,0.770076211,0.30071427
Nudt16,,,0.769716947,0.244604027
Mphosph9,,,0.769431965,0.724036671
Ap4e1,,,0.769236019,1.158483422
Kbtbd11,,,0.766664466,1.541827953
Cox18,,,0.766122207,0.973909746
Mcm8,,,0.765725948,0.648494319
Pcbp1,,,0.765577469,1.260833301
Atp11a,,,0.765566732,0.225029014
Slc25a33,,,0.765372564,0.898319206
Sh2b3,,,0.765360081,1.469912109
Naa15,,,0.765086979,0.188646376
Nmral1,,,0.764711824,0.462998679
Cyb5r3,,,0.763352986,0.742892389
Pde7a,,,0.763195954,0.000964008
Casc3,,,0.76266985,0.844559859
Rbm5,,,0.762337449,1.408629022
Fut8,,,0.762215379,0.188500427
Isoc2a,,,0.762212188,0.297752321
Zcchc7,,,0.762106665,0.408526955
Arrdc2,,,0.761844864,0.727959209
F13a1,,,0.761652731,2.230389906
1700018L02Rik,,,0.761544524,5.677189597
Gpr123,,,0.761084591,0.404488352
Tcof1,,,0.76094617,0.539857546
Zc3h7b,,,0.760119656,1.161594484
Akap10,,,0.760045426,0.000971791
Rraga,,,0.758232335,0.00096401
Rnf152,,,0.758204314,1.532885497
2900076A07Rik,,,0.75810807,1.474871983
Per2,,,0.757664499,0.640178346
Zfp422,,,0.757375835,0.378476464
Ahr,,,0.757016627,0.237697257
Plcg2,,,0.756813293,3.518408599
Hook3,,,0.756254169,0.637291011
Rere,,,0.756010718,0.580648827
Med18,,,0.755883118,2.862965863
Arf2,,,0.754537792,0.251301552
Hdac7,,,0.754261993,1.470502254
Zfx,,,0.754226122,0.000964011
Stat1,,,0.753729441,0.049063201
Ahcy,,,0.753182418,0.519152776
Itga1,,,0.751875721,0.188868013
Tfeb,,,0.751867233,0.859691457
Kansl1l,,,0.75110635,0.070920524
Ccdc107,,,0.751070627,0.517624308
0610007N19Rik,,,0.749373158,0.00096401
Fbln1,,,0.748579294,0.671355318
Hes1,,,0.747614681,0.32262665
Eepd1,,,0.74735879,0.556052381
Kif19a,,,0.747008226,0.072031069
Rap2c,,,0.746870184,0.348649141
Tmed2,,,0.746637307,0.249105491
Ptpn2,,,0.74651357,0.983376008
Vmn1r206,,,0.74599446,0.586202201
Pacsin3,,,0.745946196,0.422430785
Klhdc3,,,0.745830206,1.622669782
Vegfb,,,0.745647169,0.611262372
Pip5k1b,,,0.745597724,0.586262862
Rnf34,,,0.745535649,0.378994834
Xpo4,,,0.745071406,0.275399751
Fam211a,,,0.744687026,0.568649475
Lyrm5,,,0.743942288,0.79497814
2210016F16Rik,,,0.743137977,0.02001836
Aatf,,,0.743098023,0.669169459
P4htm,,,0.743029321,0.746694887
Ttc39c,,,0.74196028,2.274964512
Acbd6,,,0.741945111,1.516441368
Trappc3,,,0.741910566,1.207432339
Lsg1,,,0.741545311,0.537087481
Ogdh,,,0.741505543,0.780265078
Wdr61,,,0.741357734,0.256114861
0610009O20Rik,,,0.741065855,1.289402393
Ttll1,,,0.740411804,1.188063015
Prelp,,,0.740075795,1.669080772
Tbc1d30,,,0.7385645,0.930205814
Esyt2,,,0.738447341,0.06981485
Atpif1,,,0.73817931,0.65803954
Gm16853,,,0.737950117,0.890395859
Gdf1,,,0.737784667,0.535072017
Otub1,,,0.737206071,0.00096401
Top1mt,,,0.737186962,0.567257517
Mxd4,,,0.736817536,1.438940484
Gpd1l,,,0.736615236,1.363836238
Atxn2l,,,0.736322634,0.740246099
9130023H24Rik,,,0.735767715,0.23733942
Itpka,,,0.735601366,1.777057092
Gemin8,,,0.734920212,0.7412168
Aard,,,0.734570158,0.603832453
Ufsp2,,,0.733912489,0.526102613
Cenpt,,,0.733868444,1.889683882
Map3k5,,,0.733412345,3.086487762
Lrpprc,,,0.733374851,0.000964011
Dcun1d5,,,0.733130876,0.00096401
Gas6,,,0.733016982,0.434468916
Arid1a,,,0.732822988,0.918380239
Wfs1,,,0.732740513,0.000964038
Cycs,,,0.731808843,0.405201355
Ero1l,,,0.731238482,0.518692328
Mib1,,,0.731057487,1.580025763
Soat1,,,0.730917402,0.015908966
Taok1,,,0.730880341,0.167327803
Amph,,,0.730573144,0.146410765
Rpl9,,,0.730067406,0.23642831
Rnf8,,,0.729485263,0.745191566
1110008P14Rik,,,0.729037317,0.206003983
Bhlhe41,,,0.72822497,0.688235254
Epb4.1l1,,,0.72806138,0.871718512
Ylpm1,,,0.727958225,0.262177808
Strip1,,,0.727461381,1.66387315
2310009B15Rik,,,0.726337041,1.5312972
Aldh6a1,,,0.72633406,0.232914255
Dhx15,,,0.726237837,0.002759062
Prune2,,,0.726176327,1.03486872
Esf1,,,0.726088079,0.487064157
Rbm47,,,0.725942124,0.071269974
Ctcf,,,0.72548492,1.336316786
Rab3gap1,,,0.725164283,0.597265197
Suds3,,,0.724590577,0.650261316
Rab30,,,0.724400591,0.77965044
Atf7ip,,,0.724331314,0.03657911
Nicn1,,,0.724071093,3.915997866
Akt3,,,0.723752512,0.60455939
Tmem57,,,0.723589146,1.152215301
Nphp3,,,0.723239328,1.195992905
Kpna6,,,0.723110234,1.474098024
Slc16a2,,,0.72272177,0.065861526
Arf6,,,0.721879587,0.000964049
Bet1l,,,0.721161518,0.947789663
Ccdc28b,,,0.721093238,1.771867274
Bbip1,,,0.72107683,0.178735481
Nr4a2,,,0.720973522,0.728667096
Gpc6,,,0.720369897,0.018409116
Tbc1d15,,,0.719959374,2.140959183
Rala,,,0.719817691,0.432437569
Dis3l2,,,0.719593631,0.25727475
Snhg6,,,0.719191583,0.325105293
Lyst,,,0.719168937,0.833635693
Tkt,,,0.718387106,0.154410847
Nhp2l1,,,0.718185235,0.040566509
Gmpr2,,,0.717397223,1.058522621
Aak1,,,0.717270335,0.222919593
Fip1l1,,,0.716583405,0.000964877
Rara,,,0.716244513,0.475979356
Kcns2,,,0.716130309,2.66492802
Slc25a14,,,0.71600744,0.707178949
Cdip1,,,0.715192324,0.514121839
Arhgap26,,,0.714982133,0.076387743
Slc47a1,,,0.714764527,1.22370278
Dus1l,,,0.714351921,0.501997172
Il20ra,,,0.713326128,1.359350703
AK129341,,,0.713316526,0.609170718
Snhg4,,,0.71299094,1.233557464
Adrm1,,,0.71251075,0.092775854
Gpr116,,,0.711828928,0.214654658
H2afv,,,0.711827621,1.195149964
Tmem33,,,0.71172157,0.548753415
Amz2,,,0.711561345,0.071012049
Auh,,,0.711341313,0.037461866
Cdh15,,,0.711242157,6.299201973
Psip1,,,0.711035286,0.678207867
Znfx1,,,0.710681998,0.745581272
Gm14743,,,0.710445827,3.966736188
Ndp,,,0.70932449,0.333125611
Plekhg3,,,0.70928356,0.00096401
Ppm1h,,,0.709161303,1.092163997
Fam210b,,,0.708361074,0.26788059
Clock,,,0.708115319,0.422846316
Slc39a5,,,0.707565709,0.296029964
Ppcs,,,0.707197868,0.913132347
Nfxl1,,,0.706381935,0.310428291
Gm3435,,,0.706118583,2.236162489
Zfp609,,,0.705562821,1.277716834
Mknk1,,,0.705019184,0.24693343
Adamts6,,,0.70489663,7.439512662
Arid1b,,,0.704830794,1.402250252
Nolc1,,,0.704803302,0.000964007
Cth,,,0.704462058,3.386019677
Tarbp2,,,0.704355968,1.493720651
Clic4,,,0.70403867,0.309032447
Poc1a,,,0.703434729,0.886216185
Vps4b,,,0.703263746,0.530970952
Wdr77,,,0.703057814,0.184459537
Agpat6,,,0.703024102,0.858323345
Cntln,,,0.70293983,0.13275516
Dancr,,,0.701495034,1.575008556
Zc3h13,,,0.700882906,0.241446637
Tchp,,,0.700701194,1.195670452
Gpx4,,,0.700472694,0.0613613
Ubqln2,,,0.700322852,0.779433934
Wash,,,0.700271639,0.814496459
Usf2,,,0.699972746,0.7343261
Elovl1,,,0.699445641,0.691056432
Dbndd2,,,0.699352518,0.107054892
Coq4,,,0.698666012,1.735242907
Arhgef18,,,0.698169234,0.374200159
Yrdc,,,0.697948622,1.085628243
Dalrd3,,,0.697799284,1.780500274
Ppp1r9a,,,0.697455854,0.402546336
Smn1,,,0.697450446,1.092887879
Ccdc86,,,0.696351879,0.71440974
Adcy6,,,0.69622189,0.00096401
Parp8,,,0.696111963,1.413760073
Amn1,,,0.695250043,0.599981939
Oas1a,,,0.695224594,5.269719516
Rin1,,,0.695104547,0.004510941
Lef1,,,0.694827056,0.088361918
Klf10,,,0.694084405,1.316748667
Ppp2r2d,,,0.693999566,1.025702166
Tamm41,,,0.693958783,0.536512635
Gnaq,,,0.693308436,1.219729806
Myl6,,,0.693289742,0.760810716
Tubg2,,,0.692812643,1.307939606
Ccdc109b,,,0.692382595,0.000964011
Fam107b,,,0.692096964,1.268491162
Ptk7,,,0.691962608,0.828197328
Nin,,,0.691424309,0.503176926
Ugt8a,,,0.691198795,0.000964011
Gramd1a,,,0.690879188,0.21335297
Trpt1,,,0.690705057,0.389183088
Nmi,,,0.690696518,1.585694043
Gstp1,,,0.690138347,0.542466394
Rnf113a1,,,0.689943422,2.881088715
Zmiz1,,,0.689847227,0.000964011
Slc39a3,,,0.689810314,2.217192543
Sdhc,,,0.689139066,0.000964144
C77370,,,0.688778923,0.204716549
Scaf11,,,0.688725389,0.806892994
Tet2,,,0.688327906,0.861389117
Nell2,,,0.687925361,0.234047008
Pdzk1,,,0.687751745,0.809230709
Kcnc4,,,0.687113799,2.71021962
Ebag9,,,0.686766708,1.617007311
Ccdc112,,,0.686600345,1.611844411
Col24a1,,,0.686592806,0.163810315
Tmem63b,,,0.686307575,2.04903223
Rad21,,,0.686120282,0.00096401
4933426M11Rik,,,0.685454085,1.015383237
Fam110a,,,0.685261565,0.614038731
Rab11b,,,0.685140145,1.37912502
Pitpnm3,,,0.685131928,0.344434854
Dennd6a,,,0.684676066,0.512626727
Cenpv,,,0.684071254,0.566405618
Tmc3,,,0.683058914,0.953352363
Fhod3,,,0.682906594,0.000964008
Gm4980,,,0.682358022,0.652721106
Sec61g,,,0.682316993,1.214639455
Sec22c,,,0.682246689,0.409139288
A730046J19Rik,,,0.682153889,1.822416001
Eif4enif1,,,0.681957341,1.008398056
Lcmt1,,,0.681571561,0.284129684
Nfix,,,0.681443251,0.904140439
Mmgt1,,,0.681320082,0.578576377
Tgif2,,,0.681185061,1.737281537
Cox14,,,0.680053179,0.087771509
Ubr1,,,0.679172476,0.000964009
Cdc73,,,0.679079982,1.871517231
Cpt2,,,0.678965711,0.009262906
Adss,,,0.678599076,0.321096462
Dnajb13,,,0.67842073,0.068760376
Ubr2,,,0.677592186,1.276292406
Acat3,,,0.67712395,1.809944735
Samhd1,,,0.676408158,0.237696396
Acvr1b,,,0.675698899,6.624888624
Zfp653,,,0.675575415,0.561745741
Dctpp1,,,0.675467849,0.996949192
Ralb,,,0.675467718,0.727399966
Nav1,,,0.675325943,0.227404073
Adck5,,,0.674398772,0.614511812
Bri3,,,0.67359194,1.148627143
C77080,,,0.673458998,0.587483482
Wbp4,,,0.67329236,0.288819699
Pde10a,,,0.673270175,0.286884565
Rnf7,,,0.672940326,0.686600626
Slc25a11,,,0.672681084,0.092305803
Emx2,,,0.672533258,0.029552846
Rxra,,,0.672471841,1.094319046
Rfx5,,,0.672281639,1.941189329
Fmn2,,,0.671895902,0.083737847
Gnl3,,,0.671608655,0.886954377
Pnpla7,,,0.670658455,0.925994082
Ddx47,,,0.670625976,1.120403997
Them4,,,0.670610631,1.9283718
Sde2,,,0.667941549,0.000964007
Ddr2,,,0.667437959,0.003293287
Tchh,,,0.66720603,2.492804816
Tspan12,,,0.666857736,0.010425032
Fam195b,,,0.666536398,0.639713755
Tmem63a,,,0.665405984,0.803482968
Sntg2,,,0.665094767,1.524664169
Nsdhl,,,0.664737622,0.675345641
Acap2,,,0.664684075,0.000964011
Gap43,,,0.664427675,2.639424694
Cdipt,,,0.66409919,0.6216938
Mphosph10,,,0.664067378,0.182931551
Wdr45b,,,0.663448398,0.073127538
Fbrsl1,,,0.66335678,0.325468994
D17Wsu104e,,,0.662703809,0.965343219
1700113A16Rik,,,0.662638991,0.897761031
Mpeg1,,,0.662625781,0.065008763
Dolpp1,,,0.66245413,1.69202623
F3,,,0.662454033,0.000964007
Mmrn2,,,0.662206785,0.315076045
Ubn2,,,0.661927973,0.014462343
Lancl1,,,0.661770534,0.000964532
Tecpr2,,,0.661655866,1.09109553
Trmt1,,,0.661577038,0.387998134
Hectd1,,,0.661340601,0.145306035
Fut10,,,0.661235307,0.072041723
Chrnb2,,,0.661228481,0.281521439
Spsb4,,,0.660563987,0.307016896
Ncoa5,,,0.660037504,0.677242184
Cdc42se1,,,0.659997477,0.672606519
2810006K23Rik,,,0.659321851,2.287983183
6430548M08Rik,,,0.658092068,1.370924753
Dnahc11,,,0.65809055,0.431607954
Scaf1,,,0.656257501,0.89454386
1110018G07Rik,,,0.655600076,1.13833334
Hcfc1,,,0.655594665,1.714238198
Ddc,,,0.654992692,1.090483244
Agbl2,,,0.654890545,1.977758486
Svip,,,0.654519902,0.285257743
Abt1,,,0.654410678,0.619847981
Tns1,,,0.654373959,0.00096401
Ube3c,,,0.654202265,1.690983881
Tcp1,,,0.653294267,0.672879548
Nipsnap3b,,,0.652851335,0.000964009
Spast,,,0.652713364,0.281592625
C230091D08Rik,,,0.652292261,1.930837208
Wdr70,,,0.652090751,0.436786653
Ism1,,,0.651722768,0.03321588
Zcchc2,,,0.651604666,1.657819217
Farsa,,,0.650682565,0.214734731
Furin,,,0.650077536,0.277008141
Zfp266,,,0.650053124,0.64859937
Klf15,,,0.649450949,0.410980769
Sbno1,,,0.6485239,0.044905925
Scamp5,,,0.648063606,0.000964023
Mtif3,,,0.648050114,1.232992597
Mrpl55,,,0.648004245,0.58058877
Efnb3,,,0.647867296,0.262318345
Slc7a1,,,0.647702691,0.753225301
Cisd3,,,0.646844388,0.098035579
Socs6,,,0.645860651,2.124015427
Eif2ak4,,,0.644981337,0.649020078
Zfand2a,,,0.644825346,1.281394469
Actr6,,,0.644713515,1.062501137
Tfe3,,,0.644618012,0.000964007
Magi3,,,0.644491492,0.382872188
Sep-03,,,0.644478157,1.018194711
Wdr35,,,0.644097792,1.159898378
Itgb3bp,,,0.643999863,1.002622073
Gapvd1,,,0.642443406,0.50644977
Tnpo1,,,0.642383707,0.005542686
F730043M19Rik,,,0.642222332,3.830736825
Thoc7,,,0.642203638,0.288417799
Bai3,,,0.641467242,0.000964011
5730403I07Rik,,,0.641173366,0.000964007
Ap2a2,,,0.64027433,0.000964009
Xrn1,,,0.639048972,1.883477837
Nkd2,,,0.63900673,0.878274681
Ccdc132,,,0.63897554,0.620450158
Cdkn2aipnl,,,0.638920202,0.00096401
Ndufa12,,,0.638201017,0.362715899
Ntm,,,0.637788788,2.274437248
Cyb561d2,,,0.637108786,0.603705372
Gjc2,,,0.636649673,3.850796228
Pex2,,,0.636325489,0.584573986
Id4,,,0.636276103,0.831156626
Bglap2,,,0.635658379,0.00096401
Gm17066,,,0.635543828,0.888267211
Kras,,,0.635174342,0.754937878
Ddx50,,,0.634769744,1.408413889
Thumpd1,,,0.634714538,0.167708106
Cybrd1,,,0.634036794,0.000964009
Rasl10a,,,0.633931224,1.356446737
Gm14325,,,0.633772988,1.261437542
Tmem181c-ps,,,0.633671954,0.1448845
Syt15,,,0.633659645,1.492715881
Alg9,,,0.633468038,1.13116003
Asxl1,,,0.633438826,0.614476549
4930562F07Rik,,,0.63226087,4.08158906
C530008M17Rik,,,0.631461496,1.217182042
Sema4a,,,0.630845217,0.702055131
Copb2,,,0.630431445,0.000964009
Baz2a,,,0.629453098,1.722178135
Gfm2,,,0.628532081,0.418375037
Snx19,,,0.62789873,0.000968845
Sgpp1,,,0.627758521,0.023870048
Ilvbl,,,0.627757074,0.660047198
Izumo4,,,0.627756024,0.581846107
Ralgapa2,,,0.627276961,1.107902418
Ophn1,,,0.626787654,0.613050435
Myh14,,,0.626394378,0.0644902
Afap1,,,0.626388658,0.000969361
Mpg,,,0.626060399,0.930490764
B4galnt1,,,0.62542082,1.838987092
Rps6ka1,,,0.625320131,2.25114506
Copg1,,,0.624654474,1.571143822
2810474O19Rik,,,0.624541503,0.590091735
Kif27,,,0.624381895,0.000964392
Ghr,,,0.623777756,0.018091144
Magi2,,,0.623659869,0.774413001
Wdr96,,,0.623642014,1.135994261
Foxj1,,,0.62347625,0.222815769
Vrk3,,,0.623181478,0.924034127
Szrd1,,,0.622521492,0.363994921
Ccdc104,,,0.622301071,0.873937407
Hbs1l,,,0.621987001,1.458725989
Mrpl2,,,0.621936523,0.15647426
Creg1,,,0.620442494,0.227331489
Mrps28,,,0.619637014,0.486485418
Lphn1,,,0.61937586,0.43977725
Cplx3,,,0.618672229,1.478235735
Tmcc3,,,0.618284157,0.304618244
Basp1,,,0.617157026,1.145392551
Gm13826,,,0.616555074,0.00096401
Mis12,,,0.616480038,1.074647488
Ptk2,,,0.616472938,0.409129385
Sertad1,,,0.616184937,0.610659591
Fbxw11,,,0.616077672,0.230124247
Dnajc4,,,0.615633841,0.144339354
Mrpl20,,,0.615504988,0.506109058
Wdr75,,,0.615354517,1.141101845
Rassf1,,,0.61483615,1.237078453
Rmdn3,,,0.614047189,0.24289733
Mapk4,,,0.613178713,2.197387524
Inpp4a,,,0.612458777,0.829938621
Oxa1l,,,0.612046506,0.249145513
Zic4,,,0.610592812,0.953487477
Pigo,,,0.610555473,0.866238211
Sat2,,,0.610245294,0.170717784
Vamp3,,,0.610150023,0.299889519
D430019H16Rik,,,0.609878166,0.000968027
Mtx2,,,0.609784499,0.508276488
Pqbp1,,,0.609710228,0.940681046
Asb2,,,0.609666539,0.577608005
Tmem209,,,0.609599873,1.682417572
Slc35b3,,,0.608135205,0.818706991
Jsrp1,,,0.60726952,1.861807195
Slc25a44,,,0.60703765,0.785721315
Kif9,,,0.606935263,0.622004357
Nup205,,,0.606901076,0.465412325
Mbtd1,,,0.606428678,0.862704215
Ndufb6,,,0.605880047,0.175720549
Zfp385b,,,0.605800624,0.000964353
Rab3il1,,,0.604992165,0.748278263
Zbtb44,,,0.604367265,0.194043687
Ythdc1,,,0.603986342,1.649329968
9630033F20Rik,,,0.603455322,0.645672276
Frat2,,,0.603436512,0.749864656
Sec61b,,,0.60317405,0.000964009
Rnf216,,,0.602850879,0.00096401
Acbd4,,,0.602685705,0.033139278
Zmynd8,,,0.60261093,1.106532598
Fetub,,,0.602518856,0.478500778
Stk25,,,0.602014763,0.151019631
Klc4,,,0.601916951,0.296506078
Tubgcp4,,,0.601495467,0.414889107
Rai14,,,0.601228639,0.621586364
Ythdf1,,,0.601217993,1.475090873
Lgals3,,,0.600913464,0.574921111
Trim16,,,0.600889856,1.063286769
Prkaa1,,,0.600788605,0.287450268
Mios,,,0.600678824,0.405587727
Kif22,,,0.599871147,0.576140593
Pgm3,,,0.599701194,0.123638184
