,gene,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,lengthscale,BIC_periodic,BIC_linear,BIC_rbf,pval,q_value
1251,Ptpdc1,-438.3374848,-438.8546041,0.517119295,0.858235463,899.9519625,894.391281,898.9176961,0.30916522,1
1252,Ppp1r7,-352.4279808,-352.427976,-4.81E-06,2.48E-06,727.0986794,721.538002,727.0986881,1,1
1253,Numa1,-460.6810805,-460.7595812,0.078500736,0.509790373,943.7618865,938.201206,943.6048875,0.691932328,1
1254,Glb1,-286.3554921,-287.3201548,0.964662651,1.249475811,596.8830345,591.322353,594.9537107,0.164832279,0.810470826
1255,Fgf9,-389.3271089,-389.3271092,2.77E-07,0.110719672,800.8969436,795.336265,800.8969443,0.999406125,1
1256,Phtf2,-348.8063836,-348.892755,0.086371439,0.767593437,720.0282381,714.467558,719.8554937,0.677685542,1
1257,Scrt2,-279.56794,-279.8695331,0.301593107,2.569411847,581.9817941,576.421112,581.3786065,0.437364917,1
1258,Bid,-246.2539661,-246.4777147,0.223748584,1.547143837,515.1981576,509.637474,514.7506587,0.503525912,1
1259,Ctss,-593.0092561,-594.2134037,1.204147591,0.780895893,1210.669535,1205.10885,1208.261239,0.120693742,0.678542685
1260,Serf2,-633.1078636,-633.1078621,-1.50E-06,0.014759307,1288.458575,1282.89777,1288.458454,1,1
1261,Cox7a2l,-647.8883993,-648.0363836,0.147984311,0.615788754,1318.315516,1312.75479,1318.019525,0.586420841,1
1262,Ube2q1,-541.930151,-543.0653685,1.135217457,8.895475378,1108.373462,1102.81286,1106.103029,0.131862893,0.715613853
1263,Ube2f,-340.7530835,-340.768501,0.015417421,0.567286379,703.7797294,698.219048,703.7488935,0.860609361,1
1264,Vps26b,-583.7714643,-584.1429324,0.371468074,0.8389684,1190.528592,1184.96797,1189.785655,0.388721946,1
1265,Txndc5,-444.5924716,-445.6080275,1.015555875,1.174671108,913.4587804,907.898099,911.4276697,0.154107841,0.781265236
1266,Gpr85,-315.0595702,-315.12779,0.068219741,0.036334231,652.4983051,650.908772,652.3618669,0.711846624,1
1267,Grina,-700.9821968,-702.3891592,1.406962435,1.596136176,1427.021045,1421.46036,1424.20712,0.093449489,0.58108199
1268,Pdpk1,-596.8906037,-599.5091255,2.618521822,1.767055336,1221.260976,1215.7003,1216.023934,0.022110817,0.212334591
1269,9230110C19Rik,-55.62438006,-55.62437971,-3.46E-07,0.000387486,133.4914863,127.930805,133.4914866,1,1
1270,Fam50a,-290.1837456,-290.3737171,0.189971479,2.455107187,602.9901591,597.429477,602.6102177,0.537633766,1
1271,Unc119,-361.0428085,-361.1196564,0.076847889,2.89E-05,744.4821166,738.921435,744.3283435,0.695028267,1
1272,Rpl7l1,-305.0716771,-305.0750095,0.003332456,0.551099581,632.3927621,626.83208,632.3860807,0.934933857,1
1273,Spred3,-174.5624889,-174.5624886,-2.56E-07,0.001768149,371.3677038,365.807022,371.3677043,1,1
1274,Lurap1l,-382.9040197,-383.7142954,0.810275613,0.782787653,789.6713179,784.110637,788.0507659,0.203014944,0.908050621
1275,Rps19,-570.4630535,-570.642272,0.179218535,0.001145264,1163.527271,1157.96661,1163.168834,0.549375531,1
1276,Lrrtm3,-396.4230382,-397.9416977,1.518659508,2.098504182,818.1261276,812.565441,815.0888029,0.081370202,0.533597128
1277,BC016423,-301.4208545,-301.5087622,0.087907682,0.880206562,625.2602485,619.699567,625.0844355,0.674994392,1
1278,Psmc5,-367.6305702,-367.6305664,-3.73E-06,1.089638846,757.5038685,751.943187,757.5038669,1,1
1279,Tmem39a,-233.5390997,-233.8038332,0.264733448,2.415956589,489.8503962,484.289713,489.3209259,0.466831074,1
1280,Tm7sf3,-437.9851113,-438.0161157,0.031004408,0.082886553,898.2749567,892.714275,898.2129491,0.803348641,1
1281,Kbtbd7,-478.6855887,-479.2404796,0.554890915,3.200038287,980.7236831,975.163002,979.6139039,0.292129379,1
1282,Sep-04,-552.9761896,-555.6577067,2.681517113,1.916548064,1133.558144,1127.99746,1128.195106,0.020567958,0.200274761
1283,Fyttd1,-582.0085931,-583.5371069,1.528513771,1.192641738,1189.316941,1183.75626,1186.259913,0.080388603,0.530179431
1284,Mylk,-264.305689,-264.6109843,0.305295384,1.444497165,551.46469,545.904008,550.8541045,0.434565462,1
1285,Abca1,-599.1171145,-603.7795874,4.662472936,2.330929768,1229.802079,1224.24137,1220.476956,0.00226055,0.032802258
1286,Ppp2cb,-524.5319196,-526.5318652,1.999945589,0.768245653,1075.30646,1069.74578,1071.306566,0.045503202,0.361649949
1287,Coq2,-551.1860039,-551.1859927,-1.12E-05,0.024820211,1124.614714,1119.05411,1124.614734,1,1
1288,Map2k4,-580.0744396,-580.4126495,0.338209911,0.902964403,1183.068002,1177.50729,1182.391606,0.410822278,1
1289,2300009A05Rik,-403.5313521,-404.0406755,0.509323316,2.225772243,830.3241036,824.763422,829.3054307,0.312840247,1
1290,Pcdh9,-486.0041808,-486.0041769,-3.89E-06,0.00486788,994.2510803,988.690399,994.2510881,1,1
1291,Map3k2,-464.2399125,-464.2399054,-7.10E-06,0.053982703,950.7225373,945.161856,950.7225515,1,1
1292,Spry1,-275.2741368,-276.3989051,1.124768376,3.696055325,575.0405525,569.479855,572.7910001,0.133654408,0.721122315
1293,Actn1,-412.2840554,-412.2886489,0.004593494,0.909514696,846.8200278,841.259346,846.8108373,0.923640677,1
1294,D2hgdh,-105.613425,-106.1570135,0.543588466,1.352772142,234.5567533,228.996071,233.4695765,0.297097557,1
1295,Mb21d2,-334.3654005,-337.2464733,2.881072783,1.571274733,696.7356735,691.174994,690.9735275,0.016375064,0.169322948
1296,Ppm1g,-468.2965609,-468.296604,4.31E-05,0.003352022,958.8358416,953.275268,958.8358483,0.992592231,1
1297,Rgs8,-292.4270756,-292.4270744,-1.15E-06,1.83E-05,607.0968749,601.536193,607.0968777,1,1
1298,Samhd1,-288.7224111,-289.3988192,0.676408158,1.359303584,601.0403672,600.139499,599.6875487,0.244786367,0.988660134
1299,Tmppe,-177.4342074,-177.4439504,0.009742985,0.645189964,377.1306313,371.569945,377.1111413,0.888982239,1
1300,Gdpd1,-479.0530876,-479.1444038,0.091316218,3.884882587,980.5315312,974.970856,980.3489017,0.669120659,1
1301,Tmem135,-536.7876378,-536.9137507,0.126112924,1.596688076,1096.070228,1090.50955,1095.818002,0.615512132,1
1302,Fnbp1,-456.0167964,-456.1930174,0.176221013,1.928685484,934.6287675,929.068086,934.2763193,0.552734003,1
1303,Morf4l1,-850.1667029,-853.7491753,3.582472465,2.227623755,1739.287211,1733.72653,1722.576132,0.007434197,0.090175296
1304,Fam155a,-494.0837813,-495.0486256,0.964844273,1.753166308,1012.339978,1006.7793,1010.410289,0.164792524,0.810470826
1305,Snph,-591.7549035,-592.6687625,0.913859028,0.921526291,1207.580256,1202.01957,1205.752534,0.176397315,0.842522568
1306,Psmb1,-635.9316132,-636.1447036,0.213090337,2.14E-05,1294.532134,1288.97145,1294.105953,0.513869009,1
1307,Trf,-629.8774593,-635.7255239,5.848064584,1.016462151,1293.693781,1288.13309,1281.997645,0.000626303,0.01148984
1308,Slc6a1,-949.9522208,-964.3469241,14.39470335,0.947771832,1950.936947,1945.37627,1922.147168,8.07E-08,3.62E-06
1309,Gnaq,-623.7115857,-624.4048942,0.693308436,2.941036494,1271.052518,1265.49183,1269.665898,0.238977261,0.978791955
1310,Ppap2b,-834.8157533,-842.9782219,8.16246857,0.714807341,1708.199171,1702.63849,1691.874233,5.34E-05,0.001362258
1311,Plvap,-220.4114125,-220.5574604,0.146047941,0.620203118,463.3576482,457.796966,463.0655515,0.58888056,1
1312,Fgf14,-260.2445528,-260.2445521,-6.98E-07,0.001750248,542.7318307,537.171149,542.7318321,1,1
1313,Mapk8ip2,-451.7966636,-452.0655065,0.268842913,1.133189192,926.3737409,920.813061,925.8360537,0.463393381,1
1314,2700089E24Rik,-584.7496835,-585.6379635,0.888280019,5.004468602,1193.518652,1187.95797,1191.742094,0.182572302,0.858766013
1315,Lyz2,-219.0758631,-225.6129735,6.537110385,2.259661889,473.4686725,467.907992,460.3944527,0.000299388,0.006239274
1316,Ppp2r5b,-499.4389215,-500.7850322,1.346110722,2.102365919,1023.812777,1018.2521,1021.12057,0.100839141,0.608351112
1317,Lonrf3,-364.8925669,-365.0298372,0.137270259,0.883052004,752.3024146,746.741716,752.0278603,0.600302089,1
1318,Agrn,-564.3367492,-564.6491011,0.312351909,0.651248952,1151.540899,1145.98022,1150.916225,0.42930467,1
1319,Abcc9,-145.3421348,-145.3428424,0.000707642,0.252005957,312.9284146,307.367733,312.9269961,0.969990454,1
1320,Zcchc9,-322.9667148,-323.0083801,0.041665274,0.00104633,668.2594965,662.698815,668.1761561,0.772833685,1
1321,Acyp1,-419.4258381,-419.5911595,0.165321378,0.926950446,861.4250443,855.864362,861.0944027,0.565280855,1
1322,Fam126b,-610.949834,-611.2279286,0.278094624,0.516777428,1244.698585,1239.1379,1244.142395,0.45579974,1
1323,Scap,-527.4350595,-528.4755971,1.04053757,8.349350356,1079.193939,1073.63324,1077.112846,0.1491351,0.767014632
1324,Rai1,-375.6057704,-375.9389617,0.333191249,2.095984625,774.1206517,768.559968,773.4542673,0.414315683,1
1325,Cxx1c,-695.0053291,-701.3080999,6.302770792,2.310150269,1424.858926,1419.29825,1412.253385,0.000384605,0.00772276
1326,Gabarapl1,-851.7862509,-856.8135528,5.027301944,0.010763809,1735.882835,1730.3219,1725.815228,0.001519677,0.023694521
1327,Mapt,-662.7763479,-664.3003185,1.523970531,1.681362002,1350.843363,1345.28268,1347.795422,0.080839567,0.531368207
1328,Sh3kbp1,-366.7925568,-366.7925861,2.94E-05,0.366029586,755.827898,750.267163,755.8278401,0.993881789,1
1329,Mrp63,-440.8654746,-440.9389696,0.073495034,0.112210667,904.1206664,898.559984,903.9736757,0.701428513,1
1330,Zdhhc17,-594.1531858,-594.4156632,0.262477407,1.299682637,1211.074077,1205.51337,1210.549098,0.468735718,1
1331,Ptpn2,-400.5693106,-401.3158242,0.74651357,2.186523669,824.8743711,819.31369,823.3813477,0.221747375,0.949207609
1332,Gorasp2,-598.6282625,-598.6282547,-7.81E-06,0.00057764,1219.499234,1213.93855,1219.499252,1,1
1333,Snrnp200,-592.2177532,-592.3320433,0.114290083,1.718459048,1206.906813,1201.34614,1206.678233,0.632578618,1
1334,Nid1,-405.6973509,-412.2464479,6.549096965,1.898903141,846.7356211,841.174944,833.6374283,0.000295581,0.006177261
1335,Arrb1,-692.1723331,-696.8848168,4.712483721,0.948620402,1416.012358,1410.45168,1406.587393,0.002140509,0.031397654
1336,4922501C03Rik,-137.2370232,-137.2370227,-4.21E-07,1.076680437,296.7167716,291.15609,296.7167729,1,1
1337,H2afy2,-387.84972,-391.261317,3.411596979,2.438449043,804.7653618,799.20468,797.9421665,0.00899815,0.104701263
1338,Hist1h2ai,-45.02235643,-45.02190579,-0.000450642,0.404801477,112.2865386,106.725858,112.2874394,1,1
1339,Plxna3,-249.7374526,-250.1498748,0.412422185,1.17571506,522.5424756,516.981799,521.7176317,0.363767582,1
1340,Apeh,-284.6179759,-285.6398188,1.021842902,1.334781686,593.5223589,587.961677,591.4786783,0.152838922,0.777733609
1341,6720401G13Rik,-425.3385717,-425.4409373,0.102365545,0.925547015,873.1246012,867.563924,872.9198699,0.650928845,1
1342,1810037I17Rik,-490.5558351,-491.0026937,0.446858612,0.938339769,1004.248114,998.687433,1003.354397,0.344471959,1
1343,Git1,-604.8606901,-604.8606858,-4.25E-06,0.001505775,1231.964109,1226.40342,1231.964107,1,1
1344,Polr2f,-466.6071265,-467.1334351,0.526308591,1.089316194,956.5095964,950.948918,955.4569795,0.304905095,1
1345,Sema7a,-515.2857553,-521.5581325,6.272377199,1.060463965,1065.358993,1059.79832,1052.814237,0.00039732,0.007913913
1346,Gnb4,-310.2456004,-310.3336458,0.088045389,0.727642713,642.9100182,637.349337,642.7339273,0.674754514,1
1347,Dazap1,-459.7958034,-461.1459657,1.350162334,2.547442848,944.5346577,938.97398,941.8343333,0.100327814,0.605758223
1348,Tra2b,-651.0619347,-654.3417823,3.279847588,2.102996547,1330.926288,1325.36561,1324.366596,0.010431423,0.118230755
1349,Ralgps2,-578.0562718,-580.3530614,2.296789598,0.839550562,1182.94885,1177.38817,1178.35527,0.032091932,0.280340535
1350,Xbp1,-570.8212447,-570.9028398,0.081595168,2.414437634,1164.048407,1158.48772,1163.885216,0.686236077,1
1351,Trappc1,-491.7492993,-491.7558767,0.006577355,0.577272259,1005.75448,1000.1938,1005.741325,0.908687682,1
1352,Slc35a2,-334.2322291,-334.2322287,-3.55E-07,6.60E-05,690.7071857,685.146502,690.7071847,1,1
1353,Cand1,-609.7388161,-610.2576065,0.518790435,0.919377484,1242.757937,1237.19726,1241.720359,0.308384766,1
1354,Tulp4,-606.2023986,-606.4782269,0.275828344,1.055189964,1235.199176,1229.6385,1234.647524,0.457641561,1
1355,Cbr2,-94.55318024,-94.56323249,0.010052249,0.016057768,211.3691917,205.80851,211.349087,0.887245622,1
1356,Opn3,-203.9396566,-205.9075808,1.967924241,1.149930711,434.057897,428.497208,430.1220397,0.04726729,0.371022012
1357,Casp8ap2,-304.0056605,-304.1144525,0.108792077,0.028069322,630.4716314,624.910953,630.2540475,0.640886869,1
1358,Klf16,-392.3383629,-396.482706,4.144343158,1.455207179,815.208134,809.647452,806.9194523,0.003989284,0.053741403
1359,D10Jhu81e,-479.4325381,-479.6373137,0.204775562,1.112382,981.5172853,975.956604,981.1078027,0.522197425,1
1360,Gad2,-840.4140366,-845.2778173,4.863780713,0.721215352,1703.210908,1697.65023,1703.0708,0.001815252,0.027467235
1361,Ppid,-505.0576459,-505.17115,0.113504105,0.185202154,1032.585029,1027.02435,1032.358018,0.633751124,1
1362,Topors,-398.645804,-398.7226991,0.076895099,0.000102413,819.6881256,814.127444,819.5343345,0.694939307,1
1363,Efemp2,-248.3185634,-248.7414825,0.422919128,2.679295763,519.7256917,514.165011,518.8798533,0.357732347,1
1364,Zc3h11a,-609.0006907,-609.0006816,-9.15E-06,0.013483437,1240.24409,1234.68341,1240.244108,1,1
1365,Paqr4,-304.7669616,-307.4252101,2.658248512,1.483620419,637.093161,631.532464,631.7766497,0.021124436,0.204754076
1366,Rcan2,-696.2621436,-707.0537397,10.79159616,1.171526573,1436.350205,1430.78953,1414.767014,3.39E-06,0.00010992
1367,Etv1,-585.5312861,-586.4525503,0.921264203,0.679687151,1195.147825,1189.58714,1193.305299,0.174654892,0.837460231
1368,Hist1h2an,-46.31579584,-46.31553477,-0.000261071,0.294391846,114.8737963,109.313119,114.8743182,1,1
1369,Rpgr,-401.3103056,-401.4544007,0.144095124,0.951567919,825.1515049,819.590823,824.8633377,0.591382603,1
1370,Adipor1,-613.5717077,-622.4076793,8.83597161,2.072773773,1267.058075,1261.4974,1249.386142,2.62E-05,0.000722229
1371,Ahnak,-533.1864168,-582.4258062,49.23938944,2.210566349,1187.094394,1181.53365,1088.61556,0,0
1372,Ddah1,-608.9665137,-615.1525403,6.186026604,1.177042645,1252.547797,1246.98712,1240.175754,0.000435808,0.008543103
1373,Tmem206,-464.3049272,-464.8253968,0.520469547,0.011146637,951.8935505,946.332843,950.8525809,0.307603164,1
1374,Ddx6,-695.2273916,-695.3900885,0.162696884,0.523450882,1413.022904,1407.46222,1412.69751,0.568384076,1
1375,S100a5,-828.9912552,-937.8410932,108.849838,1.965893292,1897.924815,1892.36428,1680.225237,0,0
1376,Rps9,-820.7289188,-828.7828764,8.053957565,7.504122963,1679.825456,1674.26448,1663.700564,5.98E-05,0.001499267
1377,Th,-647.2201313,-655.3273632,8.107231903,1.598343055,1332.897453,1327.33677,1316.682989,5.66E-05,0.001431745
1378,Wdr62,-45.50264316,-45.50174125,-0.000901911,0.875815079,113.2462064,107.685525,113.2480128,1,1
1379,Golga7,-624.7373745,-627.6499867,2.91261217,0.765701019,1277.542706,1271.98202,1271.717476,0.015797954,0.16483167
1380,Rragd,-757.3748722,-780.0310475,22.65617528,2.211935234,1582.304822,1576.74414,1536.992471,1.68E-11,1.37E-09
1381,E030024N20Rik,-720.7390419,-732.5831925,11.84415062,2.352763425,1487.409111,1481.84843,1463.72081,1.13E-06,4.14E-05
1382,Ppfia1,-550.9977788,-583.6603547,32.66257592,2.381470451,1189.563434,1184.00275,1124.238284,6.66E-16,8.92E-14
1383,Tpi1,-740.5091732,-745.3341266,4.824953366,0.689909321,1512.91098,1497.80111,1503.261073,0.001893612,0.028335529
1384,Prdx2,-742.6376346,-742.6376313,-3.37E-06,0.890388645,1507.51799,1501.95731,1507.517996,1,1
1385,Dnalc4,-472.1740123,-473.4045687,1.230556343,1.405885782,969.0518378,963.491156,966.5907511,0.11669609,0.663854213
1386,Ywhab,-866.6094844,-872.6085237,5.999039284,3.686686709,1767.459458,1761.8992,1755.461695,0.000532554,0.010119213
1387,Tnrc6b,-576.0019839,-576.0019793,-4.56E-06,8.03E-05,1174.246824,1168.686,1174.246694,1,1
1388,Arhgap33,-483.7522583,-500.1012526,16.3489943,1.359562154,1022.445235,1016.88455,989.7472431,1.08E-08,5.71E-07
1389,Alkbh6,-449.2152606,-449.2729642,0.057703669,0.691897137,920.7886716,915.227989,920.6732477,0.734069993,1
1390,Chd9,-502.5336115,-502.5554025,0.021791023,0.925582895,1027.353531,1021.79285,1027.30995,0.834633152,1
1391,Mpp6,-447.827944,-457.5847483,9.756804283,1.593365064,937.4122155,931.851537,917.8986145,9.99E-06,0.000299715
1392,Fam20c,-630.8225943,-630.8225949,6.18E-07,0.388495145,1283.887915,1278.32724,1283.887915,0.999112948,1
1393,Smim15,-465.6109241,-465.7471423,0.136218257,0.570304682,953.7370125,948.176332,953.4645747,0.601702001,1
1394,Atl1,-526.8673359,-526.8673373,1.32E-06,0.009779095,1075.977395,1070.41672,1075.977398,0.998703592,1
1395,AI848285,-668.7573764,-673.8482438,5.090867438,1.802601832,1369.939216,1364.37854,1359.757479,0.001418387,0.022349742
1396,Sec62,-722.1355702,-722.1355876,1.74E-05,0.487247555,1466.513902,1460.95322,1466.513867,0.995293185,1
1397,Arhgap42,-111.3738538,-111.3738514,-2.37E-06,0.001413982,244.9904294,239.429748,244.9904341,1,1
1398,Bcap31,-483.4030109,-483.4030083,-2.67E-06,0.405961216,989.048743,983.488061,989.0487483,1,1
1399,A030009H04Rik,-655.6429219,-655.6429189,-3.01E-06,0.600150129,1333.528564,1327.96788,1333.52857,1,1
1400,Ctnnbl1,-261.6033534,-261.6099179,0.006564465,0.014293811,545.4625444,539.901861,545.4494333,0.90877681,1
1401,Eif4b,-620.0555569,-620.05555,-6.87E-06,0.0243399,1262.353826,1256.79315,1262.35384,1,1
1402,Ift27,-354.6137029,-354.6199548,0.006251898,0.451802502,731.4826224,725.921941,731.4701323,0.910965833,1
1403,Nfic,-478.0138232,-484.9534385,6.939615325,2.506174752,992.1496065,986.588923,978.2703729,0.000194941,0.00427231
1404,Ergic3,-452.1553032,-452.1588706,0.003567436,0.501783918,926.560473,920.999789,926.5533329,0.932684208,1
1405,Fzd9,-86.66723375,-86.6672333,-4.53E-07,0.003725845,195.5771939,190.016511,195.577194,1,1
1406,Bcl7b,-482.0251537,-482.0251484,-5.33E-06,0.000147879,986.2930235,980.732342,986.2930339,1,1
1407,P4htm,-437.3823137,-438.125343,0.743029321,1.284350378,898.4934665,892.93266,897.0073539,0.222828992,0.950894886
1408,Dnajc27,-616.5998399,-616.5998348,-5.12E-06,0.001713932,1255.442399,1249.88172,1255.442406,1,1
1409,Pgp,-401.224858,-404.2790985,3.054240461,1.826156844,830.8009226,825.240238,824.6924425,0.013453471,0.145174384
1410,Lrrn3,-558.2192779,-560.1056255,1.886347669,2.270693728,1142.453974,1136.8933,1138.681282,0.052095622,0.39643443
1411,Bri3bp,-618.1608636,-619.0710119,0.910148245,0.968547872,1260.384754,1254.82407,1258.564454,0.177277989,0.844286422
1412,Mt2,-787.5208923,-805.0040493,17.48315698,1.276359995,1632.250825,1626.69014,1597.284511,3.35E-09,1.94E-07
1413,Zbtb18,-473.8567081,-474.1122043,0.255496243,0.920262789,970.4671152,964.906433,969.9561427,0.474709532,1
1414,A430005L14Rik,-305.3740332,-305.3740302,-2.99E-06,2.103597153,632.9907894,627.430108,632.9907929,1,1
1415,Brpf1,-270.7340452,-271.2947189,0.560673723,0.973069131,564.8321667,559.271482,563.7108169,0.289628499,1
1416,Atp5l,-732.2261581,-732.2308101,0.004652038,1.349724998,1486.704347,1481.14367,1486.695043,0.923157117,1
1417,Mvb12b,-547.9394472,-548.1163996,0.176952388,0.759165574,1118.475596,1112.9149,1118.121621,0.551911011,1
1418,Capzb,-593.7263809,-595.5734031,1.847022189,8.515413669,1213.389532,1207.82885,1209.695488,0.054607055,0.409801124
1419,Ccdc137,-284.5776265,-285.1733168,0.595690315,1.624000898,592.5893438,587.02866,591.3979795,0.275051244,1
1420,Fam73a,-470.3606394,-473.8187363,3.458096916,0.986439947,969.8801982,964.319517,962.9640053,0.008541859,0.100334774
1421,Sec11a,-399.9789447,-399.9789414,-3.33E-06,0.002521733,822.2006093,816.639928,822.2006159,1,1
1422,Map7d2,-658.7811456,-659.1093081,0.328162528,0.51931132,1340.461346,1334.90067,1339.805018,0.417860343,1
1423,Prkrir,-460.0491674,-460.0897781,0.040610724,0.030339274,942.4222927,936.861549,942.3410613,0.775648916,1
1424,Zfp385b,-602.6128103,-603.2186109,0.605800624,1.314047823,1228.67995,1223.11927,1227.468347,0.271015231,1
1425,Jdp2,-498.1897529,-498.2288886,0.039135728,1.114985756,1018.700648,1013.13997,1018.622232,0.779653691,1
1426,2810468N07Rik,-335.985866,-336.3433956,0.357529612,0.77181948,694.9295176,689.368836,694.2144585,0.397769371,1
1427,Adck5,-294.8767698,-295.5511686,0.674398772,0.833858697,613.345064,607.784383,611.9962661,0.245488442,0.989881345
1428,Syndig1,-295.7715955,-295.8544181,0.082822641,0.837846006,613.9515637,608.390882,613.7859175,0.684011343,1
1429,Dync1i2,-583.0942435,-583.0942461,2.60E-06,0.001942537,1188.431207,1182.87054,1188.431214,0.998180545,1
1430,Cplx1,-987.1114401,-1013.13786,26.02641937,1.283380371,2048.519523,2042.95884,1996.465607,5.40E-13,5.02E-11
1431,Slc18a2,-272.2373442,-272.6264253,0.389081106,1.849566542,567.4955761,561.934895,566.7174149,0.377703791,1
1432,Prpf3,-315.4326182,-315.433535,0.000916723,0.548010332,653.3875542,647.826864,653.1079629,0.965846011,1
1433,Nampt,-551.004969,-553.1786366,2.173667667,1.461479432,1128.599914,1123.03923,1124.252665,0.037066899,0.31138127
1434,Atp6v1f,-643.7716279,-644.092524,0.320896029,2.930522616,1310.427993,1304.86709,1309.785982,0.423062611,1
1435,Zyx,-511.8601939,-513.2866546,1.426460739,2.250245225,1048.816043,1043.25536,1045.963114,0.091208057,0.571116951
1436,Rpia,-246.3920901,-246.3920714,-1.87E-05,0.645161181,515.0268705,509.466188,515.0269067,1,1
1437,Gbas,-646.4919305,-646.4925325,0.000602041,0.330835033,1315.227929,1309.66723,1315.226588,0.972319053,1
1438,Ctdspl,-418.9832477,-419.2041392,0.220891509,0.883172179,860.6510057,855.090324,860.2092219,0.506263122,1
1439,Nxf1,-508.1077167,-509.0991307,0.991414015,0.827146846,1040.440989,1034.88031,1038.45816,0.159092796,0.79221175
1440,Noc3l,-232.546443,-232.5464408,-2.24E-06,0.000153345,487.3356081,481.774927,487.3356125,1,1
1441,Slc19a2,-145.6110231,-145.7640161,0.152993034,2.895247968,313.7707583,308.210077,313.4647727,0.580153803,1
1442,Ptk2b,-519.3028332,-521.1873364,1.884503167,1.842956063,1064.617411,1059.05672,1060.848393,0.052210641,0.396827575
1443,Fam19a5,-586.226961,-586.2326198,0.005658728,1.448397355,1194.707941,1189.14726,1194.696649,0.915278058,1
1444,Cd63,-568.6480435,-573.8749506,5.22690714,1.564099567,1169.992517,1164.43183,1159.538814,0.001223965,0.019697243
1445,Tceb1,-525.4575011,-525.4919713,0.034470222,1.85E-05,1073.226665,1067.66598,1073.157729,0.792885785,1
1446,Kcna1,-519.0779556,-523.0316494,3.953693886,1.022432736,1068.306032,1062.74535,1060.398638,0.004923331,0.064854413
1447,9030612E09Rik,-54.19615656,-54.19615621,-3.41E-07,0.009989853,130.635039,125.074357,130.6350396,1,1
1448,Rbbp5,-392.0739363,-392.0739307,-5.63E-06,0.000305705,806.3905878,800.829906,806.3905991,1,1
1449,Sall1,-611.8968576,-614.2979811,2.401123536,1.519989409,1250.838687,1245.27801,1246.036442,0.028422643,0.256580832
1450,Smarca1,-410.5855123,-410.7425484,0.157036098,8.98E-05,843.7278231,838.167141,843.4137511,0.575192008,1
1451,Stxbp5,-489.5497888,-491.518949,1.969160264,0.974628637,1005.280697,999.720014,1001.342304,0.047197876,0.370868976
1452,Ide,-515.9740848,-515.9961997,0.022114859,0.565982845,1054.235128,1048.67445,1054.190896,0.833426804,1
1453,Zmat2,-549.6123059,-549.6123045,-1.42E-06,3.290118358,1121.467336,1115.9068,1121.467338,1,1
1454,Pdxk,-644.5406192,-644.5406135,-5.75E-06,2.48E-06,1311.323955,1305.76327,1311.323965,1,1
1455,Zfp930,-233.0936172,-233.4716135,0.377996391,1.383931423,489.1859556,483.625273,488.4299609,0.384585488,1
1456,Trmt2a,-419.9784236,-420.0800825,0.101658871,0.110655604,862.4028915,856.84221,862.1995737,0.652056083,1
1457,Ctsl,-710.0618773,-713.3541404,3.292263056,1.430124202,1448.951007,1443.39033,1442.366481,0.0102869,0.116931424
1458,Accs,-54.65288841,-54.6528882,-2.05E-07,0.002105824,131.548503,125.987821,131.5485033,1,1
1459,Gar1,-209.638279,-209.6552027,0.016923667,0.544053952,441.5531309,435.992451,441.5192845,0.85403193,1
1460,Arhgap1,-456.4772698,-459.3943711,2.917101293,1.540482298,941.0315277,935.470846,935.1972661,0.015717532,0.164122845
1461,Fam229b,-196.5005226,-196.516539,0.016016495,0.000950151,415.2758051,409.715123,415.2437717,0.857955271,1
1462,Fam69b,-473.7225198,-473.8368642,0.11434431,2.174071337,969.9164541,964.355781,969.6877661,0.632497906,1
1463,Nup155,-254.1103085,-254.1902453,0.079936845,0.000285608,530.6232198,525.062538,530.4633435,0.689272834,1
1464,Nap1l3,-434.3971437,-434.3972915,0.000147781,0.331952026,891.0373918,885.476631,891.0370139,0.986283511,1
1465,Bet1,-378.2724497,-378.3417082,0.069258535,0.000619947,778.9261458,773.365462,778.7876259,0.709759718,1
1466,Abhd16a,-480.4017388,-480.4017352,-3.61E-06,0.593250134,983.0461969,977.485515,983.0462041,1,1
1467,Cc2d2a,-273.0951395,-273.4499829,0.354843331,0.742676148,569.1427713,563.582009,568.4330055,0.399547852,1
1468,Tnk2,-517.4336448,-517.4336431,-1.74E-06,0.000101671,1057.110017,1051.54933,1057.110016,1,1
1469,Msrb1,-293.5638337,-293.5639357,0.000101992,0.713224779,609.3705979,603.809916,609.3703939,0.988604763,1
1470,Nbea,-673.0635256,-673.063599,7.34E-05,0.012763054,1368.37012,1362.8091,1368.369778,0.990332983,1
1471,Ddit4,-567.3752713,-567.6252966,0.250025267,0.176039393,1157.493321,1151.93264,1156.993269,0.479477919,1
1472,Rgs7bp,-364.0979019,-364.0979009,-9.95E-07,0.000126927,750.4385324,744.877847,750.4385303,1,1
1473,B3gat1,-472.2545212,-473.354654,1.100132707,0.995015269,968.9520348,963.391354,966.7517689,0.137986977,0.735682989
1474,Pccb,-356.3127422,-356.7166876,0.403945435,1.828323724,735.6761006,730.11542,734.8682109,0.368744551,1
1475,Gpm6b,-1078.913472,-1116.535816,37.62234409,1.616119919,2255.314964,2249.75432,2180.069671,0,0
