,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,lengthscale,BIC,pval,q value
Dusp28,-298.5865547,-298.6760808,0.089526086,1.84143076,,0.764780506,1
9430016H08Rik,-281.019875,-282.8235411,1.803666063,2.427510776,,0.179269917,1
Mapk6,-417.4951043,-417.4951038,-4.73E-07,0.000800729,,1,1
Metap2,-592.6223555,-592.7325949,0.110239349,2.81E-05,,0.739871804,1
Pip4k2a,-536.1440421,-536.14409,4.78E-05,0.576665347,,0.994482378,1
Snf8,-430.7525226,-430.7654032,0.012880557,9.86E-05,,0.909640076,1
Dennd6a,-358.8519254,-359.5932213,0.74129591,0.897469698,,0.389246068,1
Ndufb8,-700.4012803,-700.4019967,0.000716422,0.715794898,,0.978646324,1
Rbm25,-597.5743513,-597.5754006,0.001049388,0.258084921,,0.97415764,1
Atp1b1,-1174.045789,-1179.154776,5.108987435,66.57900336,,0.023802208,1
Dnajc3,-542.6025149,-543.278789,0.676274117,0.16720947,,0.410872679,1
Tmco1,-597.6451834,-597.6503866,0.005203182,1.908172149,,0.942495997,1
Rasgef1c,-354.7833229,-354.783597,0.000274153,0.163469046,,0.986789582,1
Psmb5,-666.3129091,-667.5347492,1.221840136,5.082006628,,0.268999827,1
Gjb6,-593.3447827,-593.5912768,0.246494153,0.011007981,,0.619554542,1
Tardbp,-652.5082352,-652.8602522,0.352016927,1.214404578,,0.552973611,1
Reep2,-561.9651087,-562.1840898,0.21898111,4.058163312,,0.63981736,1
Zeb2,-781.0133261,-781.0133215,-4.59E-06,0.479156294,,1,1
Mtdh,-444.9960737,-445.2261316,0.230057881,0.722272427,,0.631480914,1
Psmd1,-521.5941887,-521.852847,0.258658316,1.171488246,,0.611043412,1
Nipa1,-343.1712875,-345.9493229,2.778035447,1.127601208,,0.095565327,1
Yipf6,-419.208999,-422.1331172,2.924118137,1.337464237,,0.087264892,1
Sv2a,-521.7719707,-521.7719628,-7.88E-06,4.29E-05,,1,1
Mgme1,-194.4482232,-194.5355578,0.087334625,0.933636918,,0.767593375,1
Shisa2,-313.5122335,-313.6338086,0.121575089,0.741194776,,0.727332417,1
Btbd17,-387.5878505,-387.5881783,0.000327782,2.149336718,,0.985555283,1
Otud5,-257.3725521,-257.3728341,0.000281996,0.147087476,,0.986601975,1
Pnmal2,-777.0505777,-777.0504998,-7.80E-05,0.805369233,,1,1
Ncaph2,-472.1177237,-473.3263011,1.208577425,1.19856894,,0.271614042,1
Snx6,-470.5708165,-470.5708088,-7.73E-06,1.61E-05,,1,1
Ank,-619.9065458,-619.9065446,-1.25E-06,0.009185475,,1,1
Rpl10,-610.4106744,-610.6993196,0.288645142,2.415538806,,0.591090066,1
Epb4.1l2,-543.6038821,-543.6038775,-4.60E-06,0.000307154,,1,1
Cpne4,-907.0114231,-911.4156737,4.404250595,0.44874278,,0.035849473,1
Sympk,-354.7740567,-354.8216677,0.047610958,0.099348574,,0.827273789,1
Fahd2a,-293.1397406,-293.1397379,-2.68E-06,1.55E-05,,1,1
Abhd17a,-624.5792916,-624.7035983,0.124306686,1.521478297,,0.724409682,1
1700123O20Rik,-390.2250278,-390.2867931,0.061765303,0.753864816,,0.803727252,1
Grpel1,-514.2155346,-514.215527,-7.63E-06,0.015662916,,1,1
Gabra3,-541.3840684,-541.8291695,0.445101117,0.567501821,,0.504670584,1
Zcchc12,-398.3022371,-398.3028893,0.00065218,0.384404194,,0.979625988,1
Rabepk,-255.2370459,-255.2370446,-1.38E-06,2.05E-05,,1,1
Ctxn1,-709.8554271,-709.8554147,-1.23E-05,0.033273849,,1,1
Pola1,-154.4155619,-154.4155615,-3.29E-07,0.002676364,,1,1
H2afz,-733.028978,-733.0289828,4.88E-06,0.007114061,,0.9982374,1
Cenpc1,-287.793976,-287.9364535,0.142477517,0.870195053,,0.705830343,1
Tmem179,-483.5004127,-483.5427823,0.042369657,0.000110969,,0.836916747,1
Ppp2r3c,-341.4720063,-341.4726613,0.000655013,0.727499169,,0.979581794,1
Clcn2,-351.4175542,-351.5931791,0.175624884,0.563144135,,0.675160425,1
Camk2a,-743.74718,-743.7471384,-4.17E-05,0.910965217,,1,1
Eif2s2,-555.467889,-556.7245929,1.256703887,2.521654407,,0.262275923,1
Kif5a,-754.6883845,-754.6883872,2.69E-06,0.690113637,,0.998692247,1
Rpl39,-738.2788391,-738.2788346,-4.46E-06,0.034851919,,1,1
Smyd4,-212.527803,-212.5740299,0.046226897,0.608020576,,0.829763878,1
Sipa1l1,-775.4319022,-775.5720455,0.140143277,2.556945282,,0.708138617,1
Suds3,-561.9937465,-561.9937362,-1.04E-05,5.55E-06,,1,1
Ttf1,-221.5391084,-221.548929,0.009820584,0.007660575,,0.921059779,1
Hspa4l,-516.3793871,-516.5258606,0.146473508,1.034441154,,0.70192844,1
Kdm5a,-453.9777063,-454.1147343,0.137028033,2.727931375,,0.71125361,1
Nfe2l1,-658.529191,-658.5291887,-2.32E-06,0.48762786,,1,1
Ubqln1,-649.3169357,-649.31693,-5.78E-06,0.100969325,,1,1
Myh10,-603.1684625,-603.4040832,0.235620715,0.835441047,,0.627387113,1
Nr2f6,-416.297509,-416.3457003,0.048191212,6.11E-06,,0.826241132,1
Dhrs1,-492.33161,-492.4945564,0.162946459,0.947090814,,0.686458145,1
Avl9,-529.8519156,-529.9234271,0.071511482,0.618647869,,0.789148644,1
Gjc2,-186.8519401,-186.8519401,6.42E-08,0.000682814,,0.999797912,1
Cox20,-549.217373,-549.2173722,-8.43E-07,0.000797522,,1,1
Dmtf1,-364.1014156,-364.1014089,-6.73E-06,8.68E-05,,1,1
Cyp4f15,-395.3922082,-395.392207,-1.19E-06,0.000109235,,1,1
Use1,-503.1799904,-503.1960613,0.016070935,4.89E-08,,0.899121497,1
Pdp1,-559.0497812,-559.0514815,0.001700259,1.691187743,,0.967109195,1
Gabrb3,-770.426142,-771.3516984,0.925556445,2.743327925,,0.336020248,1
Rtca,-482.4996657,-482.5869146,0.087248843,1.239552646,,0.767704258,1
Vipr2,-469.4873822,-469.4960607,0.008678513,0.084561497,,0.925777615,1
Sepp1,-1138.739607,-1143.552981,4.813374138,38.34650742,,0.0282397,1
2210018M11Rik,-254.7626847,-255.1319197,0.369235005,1.434655652,,0.543421551,1
Sf3b5,-479.2126449,-479.2126369,-8.03E-06,0.000117968,,1,1
Ccdc177,-113.6445553,-113.6445526,-2.68E-06,0.013897491,,1,1
Zdhhc20,-366.2923512,-366.3014473,0.009096115,1.41307695,,0.924018119,1
Pdcd7,-238.8945252,-238.894579,5.38E-05,0.053597561,,0.994150212,1
Vps51,-357.1639845,-357.3812074,0.21722291,1.496805447,,0.641164117,1
Sulf2,-373.5946101,-373.5946064,-3.71E-06,0.0484255,,1,1
Stag1,-447.0497151,-447.0497014,-1.37E-05,0.003024289,,1,1
Aamp,-604.0973318,-604.1692408,0.071909064,7.48E-08,,0.788577199,1
Xpo6,-444.0051442,-444.0051444,1.99E-07,7.12E-06,,0.999644476,1
Plekhb2,-700.6501904,-700.6503458,0.000155333,0.305692443,,0.990056017,1
Zfp148,-574.2817214,-574.2817249,3.49E-06,3.157114097,,0.998509991,1
Slc25a17,-453.2289935,-453.2355285,0.006535034,0.003768479,,0.93556955,1
Gm5148,-825.6256535,-826.0650928,0.439439337,3.169772499,,0.507393188,1
Cyfip1,-589.1424025,-589.2772357,0.134833233,0.733896313,,0.713472487,1
Pacsin2,-685.3800967,-685.380155,5.84E-05,0.000619456,,0.993904726,1
Rps10,-581.905463,-582.0175034,0.112040446,0.34380141,,0.737832969,1
Rrp12,-265.0354658,-265.0354657,-1.18E-07,0.001659215,,1,1
Alyref,-382.8646019,-382.9896172,0.125015336,0.747293935,,0.723657354,1
Tvp23b,-456.54613,-456.5473132,0.001183186,1.658878297,,0.972560205,1
Zfp629,-333.2289665,-333.6037146,0.374748149,0.013680947,,0.540427428,1
Clint1,-472.897652,-473.2862848,0.38863271,1.389031947,,0.533018984,1
Xpot,-511.5691131,-511.5691065,-6.68E-06,0.001775071,,1,1
Zfp608,-421.6907513,-421.6907367,-1.46E-05,0.023523435,,1,1
Htr1f,-170.0934835,-170.1254602,0.031976688,0.647592136,,0.858078831,1
Fam220a,-364.0821789,-364.0821728,-6.18E-06,1.26E-05,,1,1
Chst1,-577.1203919,-577.1212283,0.000836382,0.221357246,,0.976928177,1
Mier1,-411.3899817,-412.2072639,0.817282184,1.050533138,,0.365975991,1
Arfip2,-442.3769765,-442.3859429,0.008966368,0.473170559,,0.924560341,1
Syn1,-784.1032763,-784.1033801,0.000103801,0.532460224,,0.991871056,1
Bcat1,-565.9051062,-565.9350574,0.029951236,0.000275135,,0.862600922,1
Wdr26,-625.8009316,-625.8232175,0.022285936,4.29E-12,,0.88132895,1
Gpc1,-449.7090308,-450.0426032,0.333572404,1.572903899,,0.56356306,1
Rpl7a,-630.7075795,-631.0030888,0.295509254,2.163563821,,0.586711509,1
Fam69a,-333.875686,-334.0247225,0.149036512,0.721373455,,0.699457807,1
Dlgap3,-631.6196296,-633.1634361,1.543806502,0.81620413,,0.214052103,1
Cldn10,-511.0352295,-511.0504905,0.015261054,0.453928295,,0.901682954,1
Klhl7,-591.8703591,-591.8703545,-4.54E-06,0.187138585,,1,1
Wdr7,-618.622164,-618.6221606,-3.43E-06,0.001036847,,1,1
Metrn,-621.0275413,-621.4016968,0.374155539,1.001021374,,0.540747811,1
Ppp1r16a,-410.0319258,-410.0319252,-6.14E-07,2.624674547,,1,1
Cadps,-741.3090549,-741.3090521,-2.83E-06,4.438297654,,1,1
Tsc22d1,-755.0688466,-755.2446069,0.175760278,1.364961689,,0.675042397,1
Eif2b1,-423.2695191,-423.439089,0.169569864,5.013916102,,0.680494366,1
Tmem147,-533.560842,-533.8264765,0.265634446,0.857764097,,0.606275372,1
Vps53,-430.7602584,-430.7622132,0.001954803,0.002997176,,0.9647345,1
Galnt7,-319.0481345,-319.0481127,-2.18E-05,0.007359376,,1,1
Sp1,-280.6074239,-280.6074225,-1.40E-06,0.80697696,,1,1
Fbxo9,-544.3199673,-544.5865668,0.266599451,1.95914231,,0.605622066,1
l7Rn6,-453.7256621,-454.0250341,0.299372075,0.700507101,,0.584276341,1
Myo6,-653.7568885,-653.7575745,0.000686033,0.254279346,,0.979104007,1
Vta1,-476.2304419,-476.2304383,-3.58E-06,0.002198656,,1,1
Cdan1,-356.1513259,-356.1513268,8.57E-07,0.000855332,,0.999261323,1
Sgk1,-415.0912461,-415.0912423,-3.80E-06,0.000648536,,1,1
Atf4,-673.8282652,-673.9694762,0.141211028,0.000695063,,0.707080043,1
Psmb8,-195.4519518,-195.5108987,0.058946916,0.772196924,,0.808168191,1
Slc13a4,-371.573025,-374.2659232,2.692898134,0.171314754,,0.100796332,1
Rgs20,-363.5889539,-363.8305275,0.241573626,0.175498872,,0.623071862,1
Yaf2,-593.8821924,-595.496101,1.613908525,0.787026594,,0.203943253,1
Mga,-468.0090555,-468.7492354,0.740179915,1.66331369,,0.389603251,1
Serinc1,-909.1299049,-914.4645728,5.334667968,27.72920596,,0.020905322,1
Nsfl1c,-494.1937431,-494.1937403,-2.80E-06,0.138303168,,1,1
Pop5,-413.6843001,-413.6842965,-3.58E-06,0.001693143,,1,1
Ccdc12,-431.6399239,-432.4128557,0.772931791,1.745964691,,0.379311605,1
2700060E02Rik,-566.1659566,-566.1659548,-1.80E-06,0.002436904,,1,1
Rbfox1,-777.5342183,-782.0848405,4.550622176,4.560287809,,0.032906787,1
Sez6l2,-622.5069275,-622.5396961,0.032768569,2.38E-10,,0.856351165,1
Pcnp,-653.2841271,-653.3991986,0.115071536,2.739202902,,0.73444253,1
Atf7ip,-287.2425443,-287.2443919,0.001847572,0.096643612,,0.965714772,1
Ndufa6,-725.6466948,-725.8693468,0.222652,0.919239398,,0.637026614,1
Sybu,-651.4090064,-651.4092157,0.000209288,1.993372253,,0.988457564,1
Sec24c,-525.910836,-525.9731213,0.062285265,0.880265404,,0.802919778,1
A330023F24Rik,-518.5110855,-518.5464718,0.035386362,0.000184206,,0.85078836,1
Adam22,-590.2943587,-590.3846168,0.09025808,6.24E-09,,0.763849317,1
Got1,-579.2366025,-579.2365959,-6.61E-06,0.011561484,,1,1
Bag6,-538.7928704,-538.7931774,0.00030705,2.115941895,,0.986019517,1
Ptges3,-693.8924196,-693.8924762,5.66E-05,0.360894065,,0.993994825,1
Taf12,-259.4529681,-259.466764,0.013795853,0.675912783,,0.906498909,1
Lrrc16b,-386.3813354,-386.3813257,-9.66E-06,0.089543534,,1,1
Gpt,-149.9853129,-149.9853942,8.13E-05,0.075135549,,0.9928046,1
Vtn,-706.1870145,-711.4191227,5.232108193,0.261263833,,0.022173641,1
Ankib1,-529.5111573,-529.5111531,-4.25E-06,0.363222413,,1,1
Mrpl15,-423.4070324,-423.5772531,0.170220658,8.029691143,,0.679915776,1
Farp1,-522.6704867,-522.6704923,5.64E-06,1.000541161,,0.998104638,1
Rala,-581.2492586,-581.4786571,0.229398521,0.500300416,,0.631970175,1
Tmem121,-304.0225757,-304.0552196,0.032643844,0.886546548,,0.85662184,1
Vps4b,-468.8121852,-468.8121846,-6.29E-07,1.12E-05,,1,1
Itfg1,-688.4693415,-688.8739095,0.404567919,0.689213445,,0.524739572,1
Ss18,-459.8003702,-459.8015514,0.001181141,2.789492518,,0.972583912,1
Herc6,-167.3712179,-167.3712174,-5.10E-07,4.49E-05,,1,1
3230401D17Rik,-164.4409968,-165.2678324,0.826835566,1.365865962,,0.363189157,1
Ptgfrn,-263.1169574,-263.4997689,0.382811533,3.153599891,,0.536102379,1
Rbbp4,-689.7740491,-692.2698551,2.495806012,1.0320645,,0.114149923,1
Tmem242,-246.5530571,-246.5530565,-5.86E-07,1.461482233,,1,1
Trappc8,-451.7573737,-451.7573817,8.06E-06,6.34E-05,,0.997735248,1
Senp7,-431.7138739,-431.7139443,7.04E-05,1.22E-05,,0.993303952,1
Acot13,-519.939156,-520.0582293,0.119073234,1.018009257,,0.730041823,1
Mdk,-500.0582086,-501.1448664,1.086657788,0.417117884,,0.297212923,1
Pdia6,-619.1026994,-619.1027127,1.32E-05,0.639020037,,0.997098141,1
Celf2,-888.8320751,-893.9464764,5.114401292,15.93965101,,0.023728052,1
Camsap2,-553.3559119,-553.3668042,0.010892334,1.403925277,,0.916878629,1
Map2,-951.7404158,-957.0624646,5.322048812,25.22403969,,0.021057239,1
Cdh2,-570.6034269,-570.6034171,-9.79E-06,6.36E-05,,1,1
Rnf152,-292.6761909,-292.7637748,0.087583884,0.021831378,,0.767271516,1
Ube2b,-736.353614,-736.3536086,-5.47E-06,0.409978014,,1,1
C330007P06Rik,-514.3687807,-515.4334502,1.064669521,0.663983863,,0.302152586,1
Arpc3,-540.7702246,-540.8177561,0.047531483,1.562695775,,0.82741574,1
Cyc1,-761.6472823,-761.647282,-2.90E-07,20.55788994,,1,1
Psma6,-569.5617775,-569.5617807,3.18E-06,3.46E-05,,0.998576865,1
Gng2,-390.4876552,-391.7837837,1.29612849,0.547547531,,0.254921612,1
Rbm7,-513.1345968,-513.4378097,0.303212876,1.336012803,,0.581875212,1
Btg1,-657.3027317,-657.3188861,0.016154388,0.158178697,,0.898861321,1
Phactr3,-624.1504138,-624.2019912,0.051577406,0.72609186,,0.820340854,1
Mgst1,-566.3220074,-568.0226726,1.700665193,0.039662377,,0.192201007,1
Pdcl,-498.5588751,-498.5588633,-1.19E-05,0.001177847,,1,1
Ung,-163.9268151,-163.9278413,0.001026206,0.179694626,,0.974444572,1
Ppme1,-526.917078,-526.9170677,-1.03E-05,0.800449915,,1,1
Dido1,-512.8122358,-512.8122338,-1.98E-06,0.024735268,,1,1
Tmem161a,-403.4705295,-404.0931617,0.622632234,3.980139195,,0.43007081,1
Taf7,-261.5370523,-261.5370515,-7.84E-07,9.82E-05,,1,1
Gja1,-854.3412182,-858.6968949,4.355676691,1.708758934,,0.036885802,1
Aard,-118.170952,-118.1711962,0.000244191,0.282703644,,0.987532278,1
Ift57,-518.7753174,-519.4220973,0.646779844,1.127516293,,0.421266328,1
Gm6548,-568.4458488,-568.4458711,2.23E-05,0.285888229,,0.996232945,1
Nipal3,-456.7186705,-456.8729343,0.154263822,0.609899322,,0.694493549,1
Rbm18,-534.3609201,-534.6962368,0.335316661,0.00099053,,0.56254509,1
Lmcd1,-180.3291171,-180.329116,-1.11E-06,1.752490569,,1,1
Vmn2r29,-133.0540131,-133.0540126,-4.63E-07,0.016122937,,1,1
Lmo1,-423.8087202,-423.8129802,0.004260052,0.007814805,,0.947959765,1
Chka,-517.1060396,-519.034658,1.928618355,6.275993246,,0.164909683,1
Aifm1,-369.8611772,-371.2588776,1.397700374,1.245200351,,0.237108983,1
Hist1h1c,-592.8539397,-596.0357032,3.181763502,0.902231333,,0.074464323,1
Gstp2,-520.5843153,-520.5960065,0.011691203,0.003216753,,0.913895848,1
Atp5c1,-690.7486254,-695.4955604,4.746935068,0.317882099,,0.029350527,1
Elmod2,-357.8761764,-357.8776316,0.001455205,0.56907438,,0.969570359,1
Mettl14,-309.3719477,-309.3719407,-7.04E-06,3.37E-05,,1,1
Hmgcl,-458.7813263,-458.9855731,0.204246856,1.460849711,,0.651314525,1
Zzz3,-438.5275493,-438.5276235,7.42E-05,0.000229196,,0.993127705,1
Chtf8,-339.5396177,-339.5396151,-2.68E-06,0.073131631,,1,1
Ly6a,-499.475107,-499.7723592,0.297252143,3.130391579,,0.58561023,1
Psme1,-373.2835912,-373.4547638,0.171172613,0.011344893,,0.679071766,1
D17Wsu92e,-566.2251101,-566.2251017,-8.34E-06,0.000328011,,1,1
Gfap,-643.5702716,-645.2171645,1.646892842,0.003351173,,0.19938236,1
Eif3c,-587.1357944,-587.1456296,0.009835181,7.50E-05,,0.921001324,1
Eif4e,-631.4709342,-631.470929,-5.19E-06,0.000895045,,1,1
Dnajb6,-639.6955865,-639.8165336,0.120947101,2.41E-07,,0.728009544,1
Tmem64,-494.5166109,-494.5166074,-3.49E-06,0.000434301,,1,1
Spsb4,-336.0490866,-336.0688049,0.019718255,0.001543288,,0.888326809,1
Crem,-333.2426558,-333.2429234,0.000267544,0.027851619,,0.986949763,1
Tle2,-279.3378391,-279.4229004,0.085061282,0.82122385,,0.770552197,1
Atp5k,-644.7120235,-644.8186737,0.106650178,0.004114438,,0.743990574,1
Kctd17,-576.5433622,-576.6890223,0.145660082,3.81E-09,,0.702717727,1
Lhfpl2,-400.2066434,-400.6692434,0.462599984,0.161944382,,0.496411368,1
4933431E20Rik,-167.4200515,-167.4200519,3.54E-07,0.00015237,,0.999525407,1
Apoe,-1513.165047,-1518.293054,5.128006678,119.4750851,,0.02354275,1
Fat4,-193.7007433,-193.9723921,0.271648758,0.067512045,,0.60222791,1
Rock2,-537.7492315,-537.8680109,0.118779387,5.786539927,,0.730362132,1
Basp1,-746.5447974,-746.5447948,-2.59E-06,1.433765924,,1,1
Rasgrf2,-540.5906597,-540.5906576,-2.08E-06,5.13E-05,,1,1
Dtx1,-459.2734081,-459.4046327,0.131224572,0.000631008,,0.717165725,1
Scg2,-954.3963053,-959.4632329,5.066927642,21.85786325,,0.024386569,1
Znf512b,-384.6906118,-385.4597386,0.769126784,1.009184349,,0.380487324,1
Uba2,-647.4574174,-647.4574116,-5.77E-06,0.028038082,,1,1
Cdk5rap3,-336.4301102,-336.4423845,0.012274356,1.408635722,,0.91178312,1
Klc1,-902.7644702,-907.990698,5.226227853,26.11742468,,0.022248733,1
2900011O08Rik,-615.3188192,-615.3187675,-5.18E-05,0.725310504,,1,1
Atg12,-553.7156113,-553.7208536,0.005242227,0.801824122,,0.942281019,1
Bnip3,-560.8389903,-564.0268658,3.187875522,4.613693443,,0.074186366,1
Lime1,-469.0332275,-469.0461376,0.012910081,0.12615855,,0.909537021,1
Topbp1,-288.6525949,-288.6539777,0.001382743,0.924934574,,0.970337299,1
2810428I15Rik,-495.3842474,-495.384245,-2.43E-06,0.000101898,,1,1
Dram2,-349.918374,-349.9191783,0.000804337,1.299769179,,0.977374363,1
Cdh5,-290.0829348,-290.1380099,0.055075109,0.006040299,,0.81445644,1
Gpr107,-275.3892241,-275.4379165,0.048692417,0.00029815,,0.825354389,1
Ctnna2,-490.9719149,-490.9719791,6.41E-05,0.038958123,,0.993609691,1
Hey2,-513.6756226,-516.656551,2.980928417,0.19918571,,0.084250932,1
Ryk,-443.4180538,-443.4181727,0.000118954,0.001529375,,0.991297954,1
Vps13a,-254.6832047,-255.6597243,0.976519628,0.773909521,,0.323059567,1
Trak2,-752.2093602,-771.6849174,19.47555719,0.17795904,,1.02E-05,0.025234363
Kcnt1,-422.5931218,-422.5931154,-6.36E-06,0.024799414,,1,1
Alkbh3,-235.2487138,-235.2487112,-2.61E-06,0.000123205,,1,1
Sec61a1,-526.0507566,-526.1052339,0.054477239,0.641337087,,0.81544802,1
Dcaf8,-519.3094396,-519.3472386,0.037799043,0.000107251,,0.845847218,1
Snhg7,-141.0839042,-141.1140924,0.030188207,0.003624671,,0.862063876,1
Rcan3,-382.4935405,-382.4981188,0.004578299,4.84E-05,,0.946053799,1
Ednrb,-732.715958,-732.7161557,0.000197701,0.540713349,,0.988781631,1
Mier2,-378.5890395,-378.614865,0.025825517,1.162913755,,0.872327174,1
Nrep,-739.0989079,-742.5143699,3.415462035,0.111090038,,0.064588331,1
Smc3,-580.9326049,-583.4872972,2.554692325,1.030317658,,0.109967221,1
Dzip3,-488.684922,-488.6849218,-2.50E-07,0.000373633,,1,1
Bcas3,-426.5214182,-427.0454296,0.524011366,0.732768512,,0.469135546,1
Nfu1,-415.0637721,-415.0813329,0.017560791,8.27E-05,,0.894575272,1
Epdr1,-500.1427688,-500.1448024,0.002033667,0.024837698,,0.964030632,1
Rab43,-263.1296816,-263.1898366,0.060155012,0.039430868,,0.806251105,1
Timm13,-550.8240558,-550.8240504,-5.39E-06,1.29E-05,,1,1
Ttc32,-197.805765,-197.8248437,0.019078665,0.000742792,,0.890141202,1
Abcb7,-531.8821124,-531.8820917,-2.07E-05,0.000297603,,1,1
Dusp12,-235.1490913,-235.1601016,0.011010355,0.004430521,,0.916431164,1
Rcbtb2,-378.7095074,-378.8165404,0.107033036,1.422903737,,0.7435476,1
Ppp2r1a,-795.9788996,-795.978898,-1.62E-06,4.812234437,,1,1
Gldc,-493.8976867,-493.9943213,0.096634576,1.99E-05,,0.755906276,1
Smap2,-602.6371843,-602.637181,-3.25E-06,0.101047451,,1,1
Inpp5a,-454.2368247,-454.2880545,0.051229832,0.000229451,,0.820936928,1
Cstf2t,-569.2745289,-569.3574547,0.082925807,0.010744054,,0.773370917,1
BC037034,-376.4989584,-376.4989551,-3.30E-06,5.01E-05,,1,1
Ms4a15,-596.5279393,-596.5279762,3.70E-05,1.072888601,,0.995149644,1
Lap3,-493.7336427,-494.3054747,0.571831935,0.005295226,,0.449531871,1
Zkscan5,-173.576536,-173.6055962,0.029060181,1.143754362,,0.864640157,1
Harbi1,-48.39283623,-48.39283467,-1.56E-06,0.012927111,,1,1
Tecr,-685.1667949,-685.1670479,0.000253027,0.311859837,,0.987308726,1
Crtc1,-485.1598014,-485.6105904,0.45078904,1.391421709,,0.50196049,1
Smim18,-266.9589751,-267.2166127,0.257637613,4.263103443,,0.611747811,1
Sarnp,-505.1451197,-505.343358,0.198238258,0.926657943,,0.656146647,1
Elfn1,-382.2144383,-382.2144337,-4.62E-06,0.000707797,,1,1
Ddx42,-518.9184648,-519.7320032,0.813538379,1.281381329,,0.367076192,1
Kxd1,-412.0051401,-412.0051363,-3.78E-06,0.002422526,,1,1
D030056L22Rik,-422.748236,-422.8005383,0.052302338,2.51E-05,,0.819104392,1
Naa16,-218.3349425,-218.4706177,0.135675226,2.816371199,,0.712618849,1
Rars,-473.4952558,-473.6814123,0.186156499,0.827032026,,0.666134969,1
Mbd3,-553.9843295,-554.1618999,0.177570377,0.65329526,,0.673469588,1
Ano1,-110.5925951,-110.5925936,-1.48E-06,0.019408312,,1,1
Slc4a8,-459.4558163,-459.4558149,-1.41E-06,0.62847692,,1,1
Pank3,-543.2682044,-544.3289825,1.060778077,1.029391511,,0.303037791,1
Fam163b,-721.3050275,-721.3050702,4.26E-05,0.259309297,,0.994790814,1
Fli1,-225.7668553,-225.7900946,0.023239304,1.038072646,,0.878836418,1
Dennd5b,-584.5166962,-584.5234008,0.006704655,0.010552917,,0.934740584,1
Idh3g,-559.5161547,-559.5161496,-5.14E-06,0.000181978,,1,1
Dlg5,-384.9914567,-385.1690726,0.177615939,0.000379716,,0.673430121,1
Ppm1f,-373.2953304,-373.3220017,0.026671277,0.003309803,,0.870271659,1
Blzf1,-360.8539671,-360.853963,-4.18E-06,0.005993694,,1,1
E130308A19Rik,-235.2634136,-235.2634136,1.33E-08,6.38E-05,,0.999907926,1
Igf1,-603.1761301,-603.3449177,0.168787654,4.300247773,,0.681191513,1
Npas4,-433.1524583,-433.1524491,-9.17E-06,0.000595951,,1,1
Epn1,-703.9853485,-704.0877254,0.102376849,2.021886952,,0.748995753,1
Gabra1,-920.4881843,-920.4881677,-1.67E-05,3.721476429,,1,1
Mtch2,-519.5831237,-519.5831197,-3.95E-06,5.76E-06,,1,1
Usp1,-410.2374705,-410.5933985,0.355928077,0.540370591,,0.550776421,1
Pafah1b3,-350.9197626,-353.0305323,2.110769688,0.887100411,,0.146265734,1
Lifr,-530.4411317,-531.1773733,0.736241554,0.00046607,,0.390867509,1
Fhl1,-716.9327394,-716.9331366,0.000397217,0.851582149,,0.984098973,1
2610100L16Rik,-483.63381,-483.7768983,0.14308839,0.744223622,,0.705229836,1
Gpaa1,-325.817078,-327.1765701,1.359492062,8.479296569,,0.243625531,1
Kras,-584.3832626,-584.3833124,4.98E-05,0.000322443,,0.994368886,1
Mrps31,-318.7294107,-318.7978403,0.068429659,2.334559511,,0.793637067,1
Nufip2,-627.4058796,-628.7960935,1.390213909,0.724179749,,0.238368979,1
Zfp74,-219.1014586,-219.1529175,0.051458904,0.738248696,,0.820543843,1
Mapk8ip3,-725.2120782,-725.4122078,0.200129576,8.718254346,,0.654616276,1
Ssr3,-653.8028388,-653.8974267,0.094587917,1.97E-05,,0.75842364,1
Ppp2r5c,-621.4632319,-621.5683335,0.105101617,2.351101641,,0.745791319,1
B930003M22Rik,-167.4423722,-167.4423685,-3.70E-06,0.003460295,,1,1
Snhg12,-179.2913348,-179.2913349,6.55E-08,2.421425555,,0.999795834,1
Limk2,-444.1762911,-444.3854366,0.209145487,0.73751453,,0.647437989,1
Zcchc8,-436.7201071,-437.0800873,0.359980189,2.651355546,,0.548517238,1
Ncs1,-534.2581927,-534.497432,0.239239286,0.615676148,,0.624756083,1
Lhx2,-435.5762156,-435.6781857,0.101970082,0.000101801,,0.749478146,1
Mrpl39,-291.2164092,-291.6631856,0.446776377,0.906056648,,0.50386979,1
Pitpnb,-475.0242816,-476.5771308,1.552849193,0.848330272,,0.212715315,1
Atg16l2,-238.4377823,-238.4464743,0.008692051,0.000649884,,0.925719911,1
Prr3,-399.5672441,-399.5672433,-8.05E-07,0.001266976,,1,1
Ago1,-492.6060521,-494.2540034,1.647951337,4.562564507,,0.199237995,1
Rai2,-363.0973141,-363.5184435,0.421129363,1.155704727,,0.516374051,1
Cxx1b,-691.1039819,-691.3916486,0.287666757,2.235527512,,0.591719621,1
Phb2,-515.5211768,-515.7066642,0.185487364,0.019453889,,0.666699289,1
Cdc123,-461.8019552,-461.8019497,-5.58E-06,4.72E-05,,1,1
Cspp1,-383.3023654,-383.3023499,-1.55E-05,0.002333952,,1,1
Gorasp1,-390.737723,-391.0061347,0.268411676,0.785831728,,0.604399229,1
Capn5,-250.1071939,-250.2116878,0.104493936,1.915107124,,0.746501965,1
